Adjective "appearance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	177572	368	368	0	76	1220.229	3.62
the		2	796240	450	450	0	82	501.954	1.745
an		3	44936	117	117	0	55	426.854	3.949
their		4	36510	98	98	0	44	362.464	3.993
personal		5	1202	41	41	0	28	355.891	7.66
her		6	158694	169	169	0	58	347.071	2.659
s		7	93515	105	105	0	49	223.080	2.735
sudden		8	1993	31	31	0	21	220.054	6.528
its		9	17953	52	52	0	33	198.915	4.103
first		10	12705	46	46	0	26	195.374	4.425
outward		11	365	17	17	0	11	158.163	8.11
whose		12	7003	32	32	0	24	150.061	4.76
unexpected		13	478	16	16	0	13	138.112	7.633
non		14	391	15	15	0	12	133.621	7.83
whole		15	5505	26	26	0	21	123.526	4.808
re		16	8536	27	27	0	16	107.538	4.23
external		17	213	11	11	0	10	104.637	8.259
all		18	54339	52	52	0	28	95.677	2.505
to		19	408155	10	10	0	8	80.485	-2.783
of		20	450948	16	16	0	13	71.681	-2.248
picturesque		21	232	7	7	0	6	58.930	7.484
was		22	174500	1	1	0	1	50.410	-4.879
supernatural		23	150	5	5	0	4	43.096	7.627
spectral		24	45	4	4	0	3	42.528	9.042
general		25	3336	10	10	0	9	38.749	4.152
sonal		26	77	4	4	0	4	38.087	8.267
no		27	46989	30	30	0	21	35.946	1.921
every		28	14671	16	16	0	14	32.777	2.693
striking		29	562	5	5	0	5	29.902	5.722
prepossessing		30	47	3	3	0	3	29.833	8.565
respectable		31	570	5	5	0	4	29.762	5.701
unusual		32	628	5	5	0	4	28.809	5.561
dishevelled		33	85	3	3	0	3	26.202	7.71
manly		34	341	4	4	0	4	26.106	6.121
your		35	37618	23	23	0	17	26.065	1.859
present		36	5946	9	9	0	8	23.547	3.166
youthful		37	517	4	4	0	3	22.820	5.52
dis		38	2267	6	6	0	6	21.834	3.973
unhealthy		39	23	2	2	0	2	21.171	9.011
splendid		40	681	4	4	0	4	20.664	5.123
distinguished		41	693	4	4	0	4	20.528	5.097
formidable		42	224	3	3	0	3	20.368	6.312
opportune		43	36	2	2	0	2	19.317	8.364
specious		44	43	2	2	0	2	18.590	8.108
for		45	112448	4	4	0	4	17.562	-2.245
faintext		46	1	1	1	0	1	17.376	12.534
ruinº		46	1	1	1	0	1	17.376	12.534
listinguished		46	1	1	1	0	1	17.376	12.534
mobbish		46	1	1	1	0	1	17.376	12.534
hlul		46	1	1	1	0	1	17.376	12.534
juvenile		51	67	2	2	0	1	16.790	7.468
melancholy		52	1149	4	4	0	4	16.627	4.368
emaciated		53	74	2	2	0	2	16.389	7.325
ﬁrst		54	1205	4	4	0	3	16.265	4.299
frequent		55	452	3	3	0	3	16.213	5.299
different		56	2353	5	5	0	5	16.151	3.656
miraculous		57	91	2	2	0	2	15.557	7.026
altered		58	534	3	3	0	3	15.237	5.058
dissipated		59	102	2	2	0	2	15.100	6.862
slightest		60	559	3	3	0	2	14.970	4.992
uw		61	2	1	1	0	1	14.604	11.534
any		62	21526	13	13	0	12	14.473	1.841
from		63	62473	1	1	0	1	14.394	-3.397
