"Appearance of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
a		1	594522	99	0	99	46	90.041	1.603
the		2	1592480	184	0	184	68	87.297	1.076
being		3	23338	20	0	20	16	72.772	3.967
of		4	901896	5	0	5	5	67.214	-3.306
russian		5	236	5	0	5	1	49.720	8.594
having		6	15650	11	0	11	11	35.914	3.681
i		7	391226	1	0	1	1	35.020	-4.422
young		8	26228	13	0	13	12	34.215	3.177
to		9	816310	13	0	13	11	31.992	-1.783
cordiality		10	264	3	0	3	3	26.074	7.696
timidity		11	284	3	0	3	2	25.636	7.59
health		12	3210	5	0	5	4	23.844	4.829
you		13	271044	1	0	1	1	22.437	-3.893
embarrassment		14	588	3	0	3	3	21.286	6.54
coldness		15	616	3	0	3	3	21.009	6.473
gaiety		16	760	3	0	3	3	19.762	6.17
emotion		17	2674	4	0	4	4	18.760	4.77
this		18	115888	20	0	20	16	18.701	1.655
fairy		19	944	3	0	3	3	18.479	5.857
had		20	231570	1	0	1	1	18.390	-3.666
sorrow		21	3058	4	0	4	4	17.728	4.577
keelesin		22	2	1	0	1	1	16.851	13.155
demoniacs		22	2	1	0	1	1	16.851	13.155
siiken		22	2	1	0	1	1	16.851	13.155
ilot		22	2	1	0	1	1	16.851	13.155
he		26	395904	6	0	6	6	16.129	-1.855
