Adjective?verb "countenance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	177572	503	503	0	74	1948.851	4.012
her		2	158694	341	341	0	63	1122.761	3.614
s		3	93515	244	244	0	62	883.322	3.894
expressive		4	292	12	12	0	9	107.592	7.871
cheerful		5	745	14	14	0	11	103.448	6.742
whose		6	7003	25	25	0	20	103.379	4.346
haggard		7	227	10	10	0	8	91.067	7.971
a		8	297261	133	133	0	51	89.872	1.35
fine		9	2764	17	17	0	13	88.092	5.131
pale		10	2307	15	15	0	10	79.344	5.211
pallid		11	125	7	7	0	7	67.173	8.317
intelligent		12	261	8	8	0	8	66.962	7.448
lovely		13	1207	11	11	0	9	65.457	5.698
to		14	408155	16	16	0	13	64.562	-2.163
open		15	4331	15	15	0	14	61.109	4.302
i		16	195613	1	1	0	1	60.048	-5.102
noble		17	2188	12	12	0	8	59.485	4.965
agitated		18	739	9	9	0	6	58.708	6.116
rueful		19	41	5	5	0	5	56.093	9.44
altered		20	534	8	8	0	6	55.476	6.415
the		21	796240	232	232	0	60	54.205	0.731
whole		22	5505	14	14	0	11	48.881	3.857
grave		23	1937	10	10	0	10	48.390	4.878
human		24	2973	11	11	0	10	46.183	4.398
your		25	37618	30	30	0	23	44.249	2.184
ghastly		26	343	6	6	0	6	43.457	6.639
anxious		27	1865	9	9	0	8	42.373	4.781
smiling		28	1280	8	8	0	6	41.679	5.154
animated		29	409	6	6	0	6	41.351	6.385
benign		30	51	4	4	0	3	41.162	8.803
gracious		31	562	6	6	0	4	37.567	5.926
saturnine		32	16	3	3	0	2	36.451	10.061
beautiful		33	2691	9	9	0	6	36.049	4.252
cadaverous		34	19	3	3	0	3	35.321	9.813
epicene		35	2	2	2	0	2	34.592	12.476
flushed		36	402	5	5	0	4	32.817	6.147
clouded		37	143	4	4	0	4	32.736	7.316
glowing		38	408	5	5	0	4	32.670	6.125
as		39	115078	1	1	0	1	32.539	-4.336
for		40	112448	1	1	0	1	31.655	-4.303
serene		41	223	4	4	0	2	29.169	6.675
radiant		42	246	4	4	0	4	28.385	6.533
sorrowful		43	283	4	4	0	4	27.268	6.331
interesting		44	769	5	5	0	4	26.430	5.211
and		45	460622	40	40	0	26	26.083	-1.015
ingenuous		46	97	3	3	0	3	25.159	7.461
intellectual		47	424	4	4	0	2	24.065	5.748
ruddy		48	127	3	3	0	3	23.531	7.072
in		49	229279	14	14	0	12	23.204	-1.524
serious		50	1087	5	5	0	5	23.071	4.712
varying		51	138	3	3	0	2	23.030	6.952
beaming		52	143	3	3	0	3	22.816	6.901
mild		53	507	4	4	0	4	22.657	5.49
melancholy		54	1149	5	5	0	5	22.536	4.632
youthful		55	517	4	4	0	4	22.504	5.462
illuminated		56	153	3	3	0	2	22.410	6.803
unmoved		57	160	3	3	0	3	22.141	6.739
teous		58	19	2	2	0	1	21.811	9.228
of		59	450948	123	123	0	54	21.511	0.636
healthy		60	184	3	3	0	2	21.304	6.537
sweet		61	2513	6	6	0	6	20.228	3.766
unaltered		62	29	2	2	0	2	20.046	8.618
withered		63	239	3	3	0	3	19.743	6.16
unvarying		64	32	2	2	0	2	19.640	8.476
heavenly		65	250	3	3	0	3	19.475	6.095
sunny		66	260	3	3	0	3	19.242	6.038
rigid		67	264	3	3	0	3	19.151	6.016
woeful		68	37	2	2	0	2	19.043	8.266
wan		69	278	3	3	0	3	18.844	5.942
healthful		70	40	2	2	0	1	18.724	8.154
vacant		71	298	3	3	0	3	18.432	5.842
furrowed		72	43	2	2	0	2	18.429	8.05
have		73	71885	1	1	0	1	18.223	-3.658
childlike		74	51	2	2	0	2	17.734	7.803
eager		75	962	4	4	0	4	17.678	4.566
swarthy		76	55	2	2	0	2	17.427	7.694
ivid		77	1	1	1	0	1	17.296	12.476
persive		77	1	1	1	0	1	17.296	12.476
heragitated		77	1	1	1	0	1	17.296	12.476
iiushed		77	1	1	1	0	1	17.296	12.476
profiled		77	1	1	1	0	1	17.296	12.476
dibonnaire		77	1	1	1	0	1	17.296	12.476
clierub		77	1	1	1	0	1	17.296	12.476
sefious		77	1	1	1	0	1	17.296	12.476
fiae		77	1	1	1	0	1	17.296	12.476
gentle		86	2007	5	5	0	3	17.250	3.827
bashful		87	66	2	2	0	2	16.690	7.431
inflamed		88	70	2	2	0	2	16.452	7.347
entire		89	432	3	3	0	3	16.242	5.306
stern		90	1187	4	4	0	4	16.072	4.263
not		91	101823	4	4	0	3	15.850	-2.16
agonized		92	82	2	2	0	2	15.815	7.118
handsome		93	1231	4	4	0	4	15.796	4.21
repulsive		94	86	2	2	0	2	15.624	7.05
comely		94	86	2	2	0	2	15.624	7.05
fair		96	3846	6	6	0	4	15.584	3.152
staid		97	91	2	2	0	1	15.397	6.968
moses		98	92	2	2	0	2	15.353	6.952
wrinkled		99	102	2	2	0	1	14.939	6.803
dejected		100	103	2	2	0	2	14.900	6.789
