"Countenance was" adjective
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
pale		1	4614	6	0	6	6	47.026	7.07
changed		2	2960	4	0	4	4	31.628	7.125
agitated		3	1478	3	0	3	3	26.139	7.712
longer		4	6014	4	0	4	4	26.013	6.102
marked		5	2034	3	0	3	2	24.233	7.251
distorted		6	216	2	0	2	2	23.490	9.902
lightened		7	218	2	0	2	2	23.453	9.888
paler		8	228	2	0	2	2	23.273	9.824
with		9	254740	13	0	13	12	22.552	2.398
clouded		10	286	2	0	2	2	22.364	9.497
full		11	9670	4	0	4	4	22.282	5.417
grave		12	3874	3	0	3	3	20.400	6.322
indisu		13	2	1	0	1	1	20.322	15.656
the		14	1592480	2	0	2	2	19.323	-2.946
deadly		15	758	2	0	2	2	18.465	8.09
animated		16	818	2	0	2	2	18.161	7.981
sied		17	8	1	0	1	1	17.066	13.656
disturbed		18	1186	2	0	2	2	16.681	7.445
prepossess		19	10	1	0	1	1	16.593	13.335
extremely		20	1286	2	0	2	2	16.359	7.328
lighted		21	1352	2	0	2	2	16.160	7.256
tably		22	14	1	0	1	1	15.890	12.849
interesting		23	1538	2	0	2	2	15.647	7.07
glum		24	30	1	0	1	1	14.326	11.75
unimpassioned		25	34	1	0	1	1	14.072	11.569
handsome		26	2462	2	0	2	2	13.782	6.391
remonstrating		27	44	1	0	1	1	13.550	11.197
expressively		28	48	1	0	1	1	13.374	11.071
sad		29	2830	2	0	2	2	13.232	6.19
