Noun "in his countenance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
depicted		1	75	4	4	0	4	67.023	13.448
visible		2	877	5	5	0	4	61.259	10.222
change		3	2812	4	4	0	4	37.843	8.22
expression		4	2118	3	3	0	3	28.313	8.213
portrayed		5	19	1	1	0	1	16.685	13.429
discomposure		6	27	1	1	0	1	15.966	12.922
predominated		7	30	1	1	0	1	15.751	12.77
legible		8	32	1	1	0	1	15.620	12.677
relenting		8	32	1	1	0	1	15.620	12.677
read		10	3706	2	2	0	1	15.006	6.821
malignity		11	65	1	1	0	1	14.187	11.655
pictured		12	111	1	1	0	1	13.111	10.883
dejection		13	124	1	1	0	1	12.888	10.723
aristocratic		14	127	1	1	0	1	12.840	10.688
exultation		15	202	1	1	0	1	11.910	10.019
modesty		16	236	1	1	0	1	11.599	9.794
