"Countenance of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
martinuzzi		1	2136	8	0	8	1	66.619	7.433
the		2	2388720	112	0	112	37	56.474	1.113
to		3	1224465	1	0	1	1	45.231	-4.73
young		4	39342	10	0	10	8	31.030	3.551
milborough		5	351	3	0	3	1	29.912	8.623
of		6	1352844	7	0	7	5	25.135	-2.067
who		7	118818	14	0	14	12	24.691	2.442
grief		8	3771	4	0	4	3	23.307	5.613
friend		9	25161	7	0	7	6	22.865	3.682
laura		10	9114	5	0	5	1	22.732	4.661
eloise		11	120	2	0	2	1	22.622	9.586
man		12	79899	11	0	11	10	22.224	2.667
speaker		13	1323	3	0	3	3	21.974	6.709
became		14	10311	5	0	5	5	21.549	4.483
lawyer		15	1749	3	0	3	2	20.316	6.306
earl		16	5952	4	0	4	1	19.748	4.954
courcy		17	1983	3	0	3	1	19.572	6.125
de		18	22800	6	0	6	3	18.979	3.602
sydney		19	318	2	0	2	1	18.711	8.18
seriousness		20	393	2	0	2	2	17.865	7.875
toledo		20	393	2	0	2	1	17.865	7.875
burdoth		22	3	1	0	1	1	17.660	13.908
ugolino		22	3	1	0	1	1	17.660	13.908
queen		24	8142	4	0	4	2	17.335	4.502
angelo		25	2940	3	0	3	1	17.249	5.557
keelevin		26	555	2	0	2	1	16.489	7.377
dying		27	3429	3	0	3	3	16.347	5.335
clancare		28	681	2	0	2	1	15.674	7.082
