Adjective "expression"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
an		1	44936	397	397	0	80	2565.983	5.935
the		2	796240	353	353	0	79	345.479	1.618
peculiar		3	956	20	20	0	13	159.917	7.179
its		4	17953	41	41	0	27	150.374	3.983
beyond		5	2652	17	17	0	12	95.967	5.472
sinister		6	120	7	7	0	5	70.492	8.658
outward		7	365	7	7	0	6	54.707	7.053
mingled		8	803	8	8	0	6	52.084	6.108
curious		9	938	8	8	0	6	49.625	5.884
ferocious		10	129	5	5	0	3	46.170	8.068
mournful		11	368	6	6	0	6	44.939	6.819
was		12	174500	1	1	0	1	42.222	-4.655
strong		13	3302	10	10	0	8	41.890	4.391
troubled		14	595	6	6	0	6	39.201	6.126
angelic		15	87	4	4	0	4	38.325	8.315
any		16	21526	19	19	0	15	37.143	2.612
puzzled		17	331	5	5	0	3	36.685	6.709
thoughtful		18	344	5	5	0	5	36.300	6.653
their		19	36510	24	24	0	20	35.473	2.187
wild		20	2343	8	8	0	8	35.341	4.564
sarcastic		21	133	4	4	0	4	34.878	7.702
varying		22	138	4	4	0	4	34.579	7.649
touching		23	451	5	5	0	5	33.605	6.263
unvarying		24	32	3	3	0	3	33.158	9.343
of		25	450948	115	115	0	50	32.279	0.821
you		26	135522	1	1	0	1	31.355	-4.29
stern		27	1187	6	6	0	6	31.054	5.13
singular		28	593	5	5	0	5	30.896	5.868
slight		29	1338	6	6	0	6	29.657	4.957
severe		30	674	5	5	0	5	29.634	5.683
it		31	148194	2	2	0	2	29.497	-3.419
gloomy		32	743	5	5	0	4	28.675	5.542
sweet		33	2513	7	7	0	4	28.199	4.27
bland		34	74	3	3	0	3	27.973	8.133
agonized		35	82	3	3	0	1	27.347	7.985
animated		36	409	4	4	0	3	25.888	6.082
anxious		37	1865	6	6	0	5	25.816	4.478
every		38	14671	13	13	0	11	25.473	2.617
general		39	3336	7	7	0	5	24.465	3.861
with		40	127370	2	2	0	2	24.037	-3.201
softer		41	145	3	3	0	3	23.897	7.163
troublous		42	14	2	2	0	1	23.894	9.95
pensive		43	149	3	3	0	2	23.733	7.124
seraphic		44	16	2	2	0	2	23.321	9.758
different		45	2353	6	6	0	4	23.164	4.142
fierce		46	581	4	4	0	4	23.118	5.575
significant		47	172	3	3	0	3	22.870	6.916
unamiable		48	19	2	2	0	2	22.592	9.51
lugubrious		48	19	2	2	0	2	22.592	9.51
demoniac		50	23	2	2	0	2	21.790	9.234
and		51	460622	33	33	0	22	21.311	-1.011
same		52	8011	9	9	0	6	21.280	2.96
resolute		53	243	3	3	0	3	20.802	6.418
typical		54	37	2	2	0	1	19.823	8.548
habitual		55	292	3	3	0	3	19.708	6.153
strange		56	3347	6	6	0	6	19.217	3.634
spectral		57	45	2	2	0	1	19.022	8.266
coarse		58	344	3	3	0	3	18.735	5.916
benign		59	51	2	2	0	2	18.513	8.085
momentary		60	362	3	3	0	2	18.432	5.843
noble		61	2188	5	5	0	5	18.269	3.984
mixed		62	375	3	3	0	3	18.224	5.792
spontaneous		63	56	2	2	0	2	18.133	7.95
gave		64	5527	7	7	0	7	18.022	3.133
graver		65	60	2	2	0	2	17.853	7.851
bewildered		66	405	3	3	0	2	17.769	5.681
neutral		67	62	2	2	0	2	17.720	7.804
freeer		68	1	1	1	0	1	17.686	12.758
woak		68	1	1	1	0	1	17.686	12.758
allegoric		68	1	1	1	0	1	17.686	12.758
wbstmoreland		68	1	1	1	0	1	17.686	12.758
fienduke		68	1	1	1	0	1	17.686	12.758
ildered		68	1	1	1	0	1	17.686	12.758
isnguishing		68	1	1	1	0	1	17.686	12.758
queereșt		68	1	1	1	0	1	17.686	12.758
tautological		68	1	1	1	0	1	17.686	12.758
horrified		77	63	2	2	0	2	17.656	7.78
ironical		78	67	2	2	0	2	17.407	7.692
defiant		79	73	2	2	0	2	17.060	7.568
warm		80	1292	4	4	0	3	16.914	4.422
amused		81	482	3	3	0	2	16.743	5.43
give		82	8385	8	8	0	6	16.660	2.724
simple		83	1342	4	4	0	4	16.624	4.368
tender		84	1361	4	4	0	4	16.517	4.347
adequate		85	87	2	2	0	2	16.354	7.315
dubious		86	89	2	2	0	2	16.262	7.282
sad		87	1415	4	4	0	4	16.221	4.291
ludicrous		88	93	2	2	0	2	16.086	7.219
this		89	57944	22	22	0	19	15.364	1.395
