"Expression of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
countenance		1	5150	107	0	107	42	1028.340	8.315
face		2	20732	46	0	46	31	236.300	5.088
his		3	355144	106	0	106	53	160.402	2.194
her		4	317388	80	0	80	38	99.550	1.95
surprise		5	3448	15	0	15	11	96.625	6.059
mingled		6	1606	11	0	11	7	80.729	6.714
contempt		7	1328	10	0	10	8	75.270	6.851
of		8	901896	8	0	8	7	71.141	-2.879
features		9	2786	11	0	11	8	68.731	5.919
to		10	816310	8	0	8	8	61.279	-2.735
gratitude		11	2148	9	0	9	9	57.280	6.005
horror		12	2436	9	0	9	5	55.048	5.823
despair		13	2552	9	0	9	8	54.224	5.756
anguish		14	1556	8	0	8	6	54.147	6.3
deep		15	6864	11	0	11	10	49.398	4.618
terror		16	2642	8	0	8	6	45.801	5.536
wonder		17	4338	9	0	9	8	44.894	4.991
tenderness		18	1818	7	0	7	7	43.378	5.883
i		19	391226	1	0	1	1	42.888	-4.674
triumph		20	1906	7	0	7	6	42.726	5.815
ineffable		21	116	4	0	4	4	42.323	9.046
admiration		22	2108	7	0	7	7	41.340	5.67
scorn		23	1282	6	0	6	6	39.489	6.165
thankfulness		24	172	4	0	4	2	39.134	8.478
pleasure		25	6230	9	0	9	8	38.618	4.469
sorrow		26	3058	7	0	7	6	36.247	5.133
pity		27	3454	7	0	7	6	34.592	4.957
pain		28	3500	7	0	7	5	34.413	4.938
impatience		29	1084	5	0	5	5	32.761	6.144
sisterly		30	90	3	0	3	1	31.534	8.997
opinion		31	4694	7	0	7	6	30.455	4.515
feeling		32	7488	8	0	8	7	29.747	4.033
indignation		33	1508	5	0	5	3	29.508	5.667
eye		34	8460	8	0	8	7	27.919	3.857
slyness		35	12	2	0	2	2	27.740	11.319
interest		36	5900	7	0	7	7	27.409	4.185
bewilderment		37	188	3	0	3	2	27.074	7.934
disgust		38	786	4	0	4	4	26.985	6.285
coun		38	786	4	0	4	4	26.985	6.285
wildness		40	212	3	0	3	3	26.351	7.761
sym		41	214	3	0	3	3	26.295	7.747
agony		42	2122	5	0	5	5	26.168	5.175
sympathy		43	2176	5	0	5	5	25.923	5.138
which		44	140390	28	0	28	22	25.084	1.612
fierce		45	1162	4	0	4	4	23.899	5.721
tenance		46	328	3	0	3	3	23.733	7.131
sentiments		47	1428	4	0	4	3	22.282	5.424
perplexity		48	442	3	0	3	3	21.951	6.701
disdain		49	468	3	0	3	3	21.610	6.618
resignation		50	480	3	0	3	3	21.459	6.582
joy		51	3676	5	0	5	5	20.870	4.382
and		52	921244	98	0	98	43	20.812	0.705
suffering		53	1778	4	0	4	4	20.572	5.108
regret		54	1830	4	0	4	4	20.348	5.066
faces		55	1866	4	0	4	4	20.197	5.038
displeasure		56	600	3	0	3	3	20.132	6.26
not		57	203646	1	0	1	1	19.479	-3.732
sensibility		58	688	3	0	3	2	19.320	6.063
amazement		59	698	3	0	3	3	19.235	6.042
you		60	271044	3	0	3	3	18.837	-2.559
heartfelt		61	112	2	0	2	2	18.501	8.096
pathy		62	120	2	0	2	2	18.223	7.997
had		63	231570	2	0	2	2	18.219	-2.917
concern		64	836	3	0	3	3	18.168	5.781
anxiety		65	2532	4	0	4	4	17.839	4.598
delight		66	2820	4	0	4	4	17.014	4.442
awe		67	1024	3	0	3	3	16.974	5.489
devotion		68	1074	3	0	3	2	16.694	5.42
perfect		69	2952	4	0	4	4	16.665	4.376
arersion		70	2	1	0	1	1	16.503	12.904
coji		70	2	1	0	1	1	16.503	12.904
importan		70	2	1	0	1	1	16.503	12.904
embod		70	2	1	0	1	1	16.503	12.904
ccuntenance		70	2	1	0	1	1	16.503	12.904
comusion		70	2	1	0	1	1	16.503	12.904
countegance		70	2	1	0	1	1	16.503	12.904
foreliead		70	2	1	0	1	1	16.503	12.904
fury		78	1130	3	0	3	2	16.396	5.347
indifference		79	1132	3	0	3	2	16.385	5.344
innocence		80	1164	3	0	3	3	16.222	5.304
unutterable		81	212	2	0	2	2	15.944	7.176
devout		82	214	2	0	2	1	15.907	7.162
