Noun "of expression"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
modes		1	115	6	6	0	6	94.276	12.7
power		2	4601	9	9	0	8	82.158	7.963
mode		3	535	4	4	0	4	47.061	9.897
change		4	2812	5	5	0	1	44.512	7.825
sublimity		5	30	2	2	0	2	32.365	13.054
powers		6	853	3	3	0	2	30.739	8.809
loveliness		7	250	2	2	0	1	23.767	9.995
turn		8	3311	3	3	0	3	22.631	6.853
sweetness		9	395	2	2	0	2	21.933	9.335
jocundity		10	2	1	1	0	1	20.749	15.961
periousness		10	2	1	1	0	1	20.749	15.961
forms		12	635	2	2	0	2	20.034	8.65
ingenuities		13	4	1	1	0	1	19.023	14.961
dignity		14	984	2	2	0	2	18.285	8.018
peacefulness		15	8	1	1	0	1	17.493	13.961
vacuity		16	13	1	1	0	1	16.471	13.26
listlessness		17	14	1	1	0	1	16.317	13.153
drollery		18	15	1	1	0	1	16.174	13.054
piquancy		19	20	1	1	0	1	15.581	12.639
sullenness		20	21	1	1	0	1	15.481	12.568
deal		21	2072	2	2	0	1	15.321	6.944
mence		22	30	1	1	0	1	14.753	12.054
vagueness		23	31	1	1	0	1	14.686	12.007
hopelessness		24	41	1	1	0	1	14.119	11.603
form		25	2951	2	2	0	2	13.920	6.434
mildness		26	46	1	1	0	1	13.887	11.437
sort		27	3105	2	2	0	2	13.719	6.36
similarity		28	53	1	1	0	1	13.600	11.233
guiltless		29	55	1	1	0	1	13.526	11.179
richness		30	59	1	1	0	1	13.384	11.078
sharpness		31	70	1	1	0	1	13.040	10.831
peculiarities		32	91	1	1	0	1	12.512	10.453
gleams		33	93	1	1	0	1	12.468	10.422
steadfast		33	93	1	1	0	1	12.468	10.422
full		35	4835	2	2	0	2	11.973	5.721
riot		36	125	1	1	0	1	11.875	9.995
identity		37	132	1	1	0	1	11.765	9.916
