Adjective "face"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	177572	2043	2043	0	98	7969.639	4.025
her		2	158694	1623	1623	0	95	5901.345	3.855
s		3	93515	1027	1027	0	86	3815.747	3.958
pale		4	2307	146	146	0	51	1035.006	6.485
the		5	796240	1217	1217	0	95	614.239	1.113
handsome		6	1231	63	63	0	21	418.897	6.178
of		7	450948	39	39	0	26	403.405	-3.031
white		8	4240	82	82	0	30	386.808	4.774
and		9	460622	60	60	0	40	335.224	-2.44
your		10	37618	166	166	0	59	331.690	2.643
beautiful		11	2691	61	61	0	34	306.561	5.003
my		12	66510	195	195	0	62	261.364	2.053
he		13	197952	2	2	0	2	260.739	-6.128
i		14	195613	4	4	0	4	241.982	-5.111
whose		15	7003	69	69	0	38	236.504	3.801
sweet		16	2513	48	48	0	28	225.116	4.756
pretty		17	2563	47	47	0	30	216.698	4.698
was		18	174500	4	4	0	3	212.674	-4.946
in		19	229279	23	23	0	17	190.225	-2.817
it		20	148194	4	4	0	3	176.389	-4.71
you		21	135522	3	3	0	3	165.663	-4.997
upturned		22	68	16	16	0	11	158.055	8.379
fair		23	3846	43	43	0	26	157.491	3.984
she		24	116217	1	1	0	1	154.138	-6.36
with		25	127370	4	4	0	4	147.890	-4.492
smiling		26	1280	29	29	0	21	145.628	5.003
lovely		27	1207	28	28	0	21	141.902	5.037
for		28	112448	2	2	0	2	140.839	-5.312
pallid		29	125	16	16	0	13	136.694	7.501
averted		30	178	17	17	0	13	134.749	7.078
haggard		31	227	17	17	0	14	126.179	6.728
grave		32	1937	29	29	0	22	122.300	4.405
sur		33	479	19	19	0	14	116.499	5.811
at		34	87333	1	1	0	1	113.589	-5.948
is		35	83547	1	1	0	1	108.294	-5.884
bright		36	2196	27	27	0	14	103.706	4.121
blushing		37	269	15	15	0	11	102.280	6.302
wrinkled		38	102	12	12	0	8	100.368	7.379
worn		39	812	19	19	0	14	96.597	5.049
thy		40	4237	32	32	0	20	93.888	3.418
beaming		41	143	12	12	0	8	91.883	6.892
flushed		42	402	15	15	0	10	90.130	5.722
wry		43	20	8	8	0	7	89.181	9.145
honest		44	1202	20	20	0	10	88.398	4.557
a		45	297261	348	348	0	82	77.400	0.728
all		46	54339	1	1	0	1	67.667	-5.263
