"Face was" adjective/verb
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
pale		1	4614	39	0	39	23	351.714	7.909
turned		2	12248	25	0	25	23	154.544	5.859
hidden		3	1288	13	0	13	12	121.524	8.165
flushed		4	804	10	0	10	9	97.639	8.466
white		5	8480	14	0	14	10	80.565	5.552
livid		6	348	5	0	5	3	50.244	8.674
purple		7	726	5	0	5	4	42.879	7.613
distorted		8	216	4	0	4	4	42.234	9.04
wet		9	1134	5	0	5	5	38.436	6.97
with		10	254740	32	0	32	24	35.909	1.836
almost		11	13296	8	0	8	8	30.424	4.096
paler		12	228	3	0	3	3	29.610	8.547
full		13	9670	7	0	7	7	29.067	4.363
pallid		14	250	3	0	3	3	29.056	8.414
averted		15	356	3	0	3	3	26.932	7.904
deathlike		16	28	2	0	2	2	26.616	10.988
and		17	921244	64	0	64	32	24.929	0.982
rigid		18	528	3	0	3	3	24.570	7.336
very		19	54276	12	0	12	8	24.036	2.652
irradiated		20	56	2	0	2	2	23.772	9.988
twitching		21	62	2	0	2	2	23.358	9.841
ghastly		22	686	3	0	3	3	23.007	6.958
hid		23	740	3	0	3	3	22.555	6.849
whiter		24	76	2	0	2	2	22.532	9.547
deadly		25	758	3	0	3	3	22.412	6.814
towards		26	11402	6	0	6	6	21.299	3.903
as		27	230156	24	0	24	21	20.601	1.568
ashy		28	124	2	0	2	2	20.557	8.841
altered		29	1068	3	0	3	3	20.373	6.319
the		30	1592480	27	0	27	20	19.482	-1.053
buried		31	1328	3	0	3	3	19.082	6.005
uncovered		32	182	2	0	2	2	19.016	8.287
wrinkled		33	204	2	0	2	2	18.558	8.123
bruised		34	206	2	0	2	2	18.519	8.108
framed		35	224	2	0	2	2	18.184	7.988
convulsed		36	240	2	0	2	2	17.908	7.888
iturned		37	2	1	0	1	1	17.739	13.795
clearer		38	252	2	0	2	2	17.713	7.818
like		39	42024	9	0	9	9	17.527	2.606
unusually		40	294	2	0	2	2	17.097	7.595
stern		41	2374	3	0	3	3	15.667	5.167
eloquent		42	470	2	0	2	1	15.227	6.918
mellower		43	6	1	0	1	1	15.105	12.21
covered		44	2720	3	0	3	3	14.875	4.971
drawn		45	2794	3	0	3	3	14.719	4.932
