Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
rested		1	600	3	3	0	3	34.410	9.687
scrawled		2	24	2	2	0	1	34.328	13.746
people		3	7464	3	3	0	2	19.351	6.05
tights		4	5	1	1	0	1	19.032	15.009
callings		5	11	1	1	0	1	17.335	13.871
creature		6	1630	2	2	0	2	17.305	7.66
spot		7	1763	2	2	0	2	16.992	7.547
living		8	2011	2	2	0	2	16.468	7.357
delineated		9	19	1	1	0	1	16.201	13.083
multiply		10	26	1	1	0	1	15.559	12.63
sized		11	47	1	1	0	1	14.358	11.776
fell		12	3436	2	2	0	2	14.342	6.584
fellow		13	3537	2	2	0	2	14.227	6.542
streak		14	61	1	1	0	1	13.832	11.4
inquiringly		15	63	1	1	0	1	13.767	11.353
riveted		16	65	1	1	0	1	13.704	11.308
blot		17	88	1	1	0	1	13.094	10.871
full		18	4835	2	2	0	2	12.992	6.091
wanderer		19	106	1	1	0	1	12.720	10.603
nowhere		20	152	1	1	0	1	11.997	10.083
