Noun "in her face":
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
looked		1	8887	9	9	0	7	64.966	6.592
up		2	26212	10	10	0	10	53.040	5.183
earnestly		3	549	4	4	0	4	44.485	9.439
change		4	2812	4	4	0	4	31.439	7.082
colour		5	1035	3	3	0	3	27.813	8.109
laughed		6	1497	3	3	0	1	25.605	7.577
look		7	9709	4	4	0	3	21.663	5.294
flashed		8	447	2	2	0	2	20.264	8.735
gazing		9	723	2	2	0	2	18.343	8.042
looking		10	5307	3	3	0	2	18.086	5.751
pulsing		11	5	1	1	0	1	17.931	14.217
attentiveness		11	5	1	1	0	1	17.931	14.217
looketh		13	6	1	1	0	1	17.528	13.954
straight		14	895	2	2	0	2	17.491	7.734
sponse		15	7	1	1	0	1	17.194	13.732
eagerly		16	1000	2	2	0	2	17.049	7.574
gazed		17	1110	2	2	0	1	16.634	7.423
anxiety		18	1266	2	2	0	2	16.111	7.233
ﬂing		19	17	1	1	0	1	15.329	12.452
iously		20	18	1	1	0	1	15.211	12.369
knowingly		21	32	1	1	0	1	14.036	11.539
lour		21	32	1	1	0	1	14.036	11.539
alterations		23	43	1	1	0	1	13.437	11.113
spit		24	45	1	1	0	1	13.345	11.048
lavender		25	51	1	1	0	1	13.092	10.867
pointment		26	56	1	1	0	1	12.903	10.732
innocently		27	62	1	1	0	1	12.698	10.585
curve		28	69	1	1	0	1	12.483	10.431
blazed		29	73	1	1	0	1	12.369	10.35
