Noun "in his face"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
up		1	26212	30	30	0	17	200.633	6.153
gazed		2	1110	8	8	0	3	82.042	8.807
fixedly		3	72	4	4	0	3	57.473	11.754
earnestly		4	549	5	5	0	3	53.557	9.145
expression		5	2118	6	6	0	6	50.288	7.46
look		6	9709	8	8	0	6	47.559	5.678
looked		7	8887	7	7	0	6	40.966	5.613
looking		8	5307	5	5	0	4	30.979	5.872
meekly		9	132	2	2	0	1	23.442	9.879
laughed		10	1497	3	3	0	3	23.040	6.961
moistly		11	1	1	1	0	1	22.079	15.924
writter		11	1	1	1	0	1	22.079	15.924
reflected		13	454	2	2	0	2	18.490	8.097
enamels		14	5	1	1	0	1	17.075	13.602
flout		14	5	1	1	0	1	17.075	13.602
uncharity		14	5	1	1	0	1	17.075	13.602
proachfully		17	6	1	1	0	1	16.672	13.339
ingness		17	6	1	1	0	1	16.672	13.339
slyness		17	6	1	1	0	1	16.672	13.339
jubilation		17	6	1	1	0	1	16.672	13.339
full		21	4835	3	3	0	3	16.108	5.269
lines		22	880	2	2	0	2	15.852	7.142
eagerly		23	1000	2	2	0	2	15.344	6.958
colour		24	1035	2	2	0	1	15.207	6.908
saucily		25	14	1	1	0	1	14.874	12.116
spicuous		25	14	1	1	0	1	14.874	12.116
stedfastly		27	16	1	1	0	1	14.598	11.924
searchingly		28	17	1	1	0	1	14.473	11.836
smiling		29	1280	2	2	0	2	14.365	6.602
crowed		30	19	1	1	0	1	14.244	11.676
terror		31	1321	2	2	0	2	14.240	6.556
spat		32	26	1	1	0	1	13.603	11.223
preoccupation		32	26	1	1	0	1	13.603	11.223
door		34	7579	3	3	0	3	13.497	4.621
line		35	1618	2	2	0	2	13.437	6.264
slammed		36	31	1	1	0	1	13.245	10.969
knowingly		37	32	1	1	0	1	13.180	10.924
imploringly		37	32	1	1	0	1	13.180	10.924
tingling		39	36	1	1	0	1	12.941	10.754
