Noun "of her face"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
expression		1	2118	17	17	0	13	206.112	10.064
fairness		2	55	4	4	0	2	65.884	13.243
part		3	6663	7	7	0	5	55.748	7.13
glimpse		4	303	3	3	0	3	37.230	10.367
whiteness		5	129	2	2	0	2	26.606	11.014
paleness		6	157	2	2	0	2	25.815	10.73
radiance		7	182	2	2	0	2	25.221	10.517
beauty		8	2745	3	3	0	3	24.017	7.187
solemnity		9	253	2	2	0	1	23.898	10.042
quacity		10	1	1	1	0	1	23.611	17.025
feature		11	279	2	2	0	2	23.506	9.901
aspect		12	659	2	2	0	2	20.065	8.661
dreaminess		13	4	1	1	0	1	19.112	15.025
lines		14	880	2	2	0	2	18.910	8.243
side		15	6650	3	3	0	3	18.763	5.911
fault		16	917	2	2	0	2	18.745	8.184
impassiveness		17	5	1	1	0	1	18.607	14.703
colour		18	1035	2	2	0	2	18.263	8.009
line		19	1618	2	2	0	2	16.483	7.365
moulding		20	17	1	1	0	1	16.004	12.937
view		21	2231	2	2	0	2	15.206	6.901
imperfections		22	30	1	1	0	1	14.842	12.118
appearance		23	2473	2	2	0	2	14.797	6.753
contour		24	33	1	1	0	1	14.649	11.98
curves		25	52	1	1	0	1	13.728	11.324
character		26	3414	2	2	0	2	13.521	6.288
dissatisfaction		27	70	1	1	0	1	13.129	10.896
muscle		28	75	1	1	0	1	12.990	10.796
nity		29	99	1	1	0	1	12.432	10.395
exposure		30	108	1	1	0	1	12.257	10.27
inspection		31	118	1	1	0	1	12.079	10.142
blushes		32	125	1	1	0	1	11.964	10.059
humor		33	142	1	1	0	1	11.708	9.875
