"Face of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
the		1	1592480	359	0	359	77	420.923	1.796
earth		2	5200	42	0	42	24	323.136	6.959
nature		3	9670	31	0	31	21	181.628	5.626
of		4	901896	4	0	4	4	89.201	-3.871
to		5	816310	7	0	7	7	64.759	-2.92
man		6	53266	23	0	23	18	48.297	2.734
globe		7	252	5	0	5	5	47.371	8.256
angel		8	1568	7	0	7	6	45.493	6.104
god		9	11626	11	0	11	10	38.523	3.866
he		10	395904	2	0	2	2	37.476	-3.683
heaven		11	6770	9	0	9	8	37.281	4.356
in		12	458558	4	0	4	4	35.821	-2.895
rock		13	1942	6	0	6	3	34.643	5.573
his		14	355144	56	0	56	35	34.106	1.281
zelneth		15	364	4	0	4	1	33.153	7.404
zalia		16	70	3	0	3	1	33.100	9.367
dead		17	6768	8	0	8	8	31.351	4.187
a		18	594522	77	0	77	40	30.373	0.997
ashy		19	124	3	0	3	3	29.619	8.542
corpse		20	674	4	0	4	4	28.245	6.515
jabez		21	1726	5	0	5	2	28.236	5.48
country		22	9078	8	0	8	8	26.949	3.763
speaker		23	882	4	0	4	1	26.114	6.127
world		24	17500	10	0	10	7	25.823	3.138
child		25	13584	9	0	9	8	25.621	3.352
seriousness		26	262	3	0	3	2	25.110	7.463
land		27	4704	6	0	6	5	24.373	4.297
terror		28	2642	5	0	5	5	24.092	4.866
son		29	11294	8	0	8	8	23.739	3.448
friend		30	16774	9	0	9	6	22.235	3.047
for		31	224896	1	0	1	1	21.929	-3.868
dangers		32	508	3	0	3	2	21.153	6.508
obelisk		33	68	2	0	2	1	20.535	8.824
cuss		34	102	2	0	2	1	18.898	8.239
young		35	26228	10	0	10	9	18.856	2.554
iarine		36	780	3	0	3	1	18.609	5.889
she		37	232434	2	0	2	2	18.179	-2.915
margaret		38	2442	4	0	4	1	18.158	4.658
had		39	231570	2	0	2	2	18.081	-2.91
brigand		40	126	2	0	2	1	18.048	7.934
bolland		41	130	2	0	2	1	17.923	7.889
planet		41	130	2	0	2	2	17.923	7.889
ocean		43	910	3	0	3	2	17.699	5.667
envoy		44	138	2	0	2	2	17.683	7.803
beauty		45	5490	5	0	5	5	17.142	3.811
spilsby		46	164	2	0	2	1	16.991	7.554
with		47	254740	3	0	3	3	16.923	-2.462
providence		48	1044	3	0	3	3	16.891	5.468
lover		49	2896	4	0	4	4	16.851	4.412
heavens		50	1060	3	0	3	2	16.802	5.447
stater		51	2	1	0	1	1	16.513	12.911
keaven		51	2	1	0	1	1	16.513	12.911
phaedra		51	2	1	0	1	1	16.513	12.911
aidan		51	2	1	0	1	1	16.513	12.911
theurgist		51	2	1	0	1	1	16.513	12.911
hommy		56	186	2	0	2	1	16.488	7.372
walerie		56	186	2	0	2	1	16.488	7.372
infant		58	1156	3	0	3	3	16.293	5.321
