Adjective "look"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
to		1	408155	1862	1862	0	99	4296.498	2.785
a		2	297261	964	964	0	92	1594.985	2.293
you		3	135522	393	393	0	82	564.926	2.131
not		4	101823	316	316	0	82	486.405	2.229
t		5	24341	142	142	0	51	368.589	3.14
of		6	450948	39	39	0	25	367.467	-2.936
in		7	229279	18	18	0	13	192.713	-3.076
significant		8	172	19	19	0	11	158.879	7.383
was		9	174500	12	12	0	11	153.833	-3.267
must		10	18318	75	75	0	45	148.211	2.629
as		11	115078	2	2	0	2	134.399	-5.251
could		12	30901	91	91	0	54	131.257	2.154
he		13	197952	25	25	0	17	130.450	-2.39
the		14	796240	305	305	0	82	115.816	-0.789
with		15	127370	8	8	0	7	115.582	-3.398
last		16	11490	51	51	0	38	107.674	2.745
would		17	44670	98	98	0	51	98.593	1.729
for		18	112448	8	8	0	6	97.669	-3.218
be		19	85390	3	3	0	3	89.753	-4.236
on		20	77334	2	2	0	2	85.687	-4.678
wistful		21	100	10	10	0	10	81.521	7.239
will		22	37695	82	82	0	49	81.457	1.717
reproachful		23	70	9	9	0	8	78.144	7.602
i		24	195613	239	239	0	81	75.270	0.884
have		25	71885	3	3	0	3	72.812	-3.987
can		26	19687	53	53	0	38	69.023	2.024
is		27	83547	7	7	0	7	67.933	-2.982
inquiring		28	201	10	10	0	6	67.162	6.232
just		29	9238	35	35	0	25	64.532	2.517
anxious		30	1865	18	18	0	15	63.120	3.866
my		31	66510	5	5	0	5	56.473	-3.138
imploring		32	144	8	8	0	8	55.520	6.391
sharp		33	1164	14	14	0	10	54.905	4.184
were		34	47967	1	1	0	1	54.700	-4.989
which		35	70195	7	7	0	6	52.609	-2.731
troubled		36	595	11	11	0	11	52.244	4.804
now		37	29779	59	59	0	33	51.005	1.582
arch		38	357	9	9	0	6	48.216	5.251
may		39	15594	39	39	0	29	46.468	1.918
parting		40	598	10	10	0	8	45.544	4.659
lingering		41	270	8	8	0	8	45.415	5.484
what		42	39570	1	1	0	1	43.933	-4.711
if		43	39469	1	1	0	1	43.804	-4.707
appealing		44	97	6	6	0	5	42.953	6.546
been		45	38628	1	1	0	1	42.731	-4.676
puzzled		46	331	8	8	0	7	42.192	5.19
haggard		47	227	7	7	0	7	40.293	5.542
angry		48	1407	12	12	0	12	39.309	3.688
every		49	14671	35	35	0	25	39.279	1.85
might		50	16234	37	37	0	25	39.102	1.784
by		51	72528	12	12	0	10	38.890	-2.0
demure		52	60	5	5	0	3	38.859	6.976
answering		53	256	7	7	0	4	38.624	5.368
it		54	148194	44	44	0	31	37.954	-1.157
yearning		55	149	6	6	0	4	37.736	5.927
she		56	116217	30	30	0	27	37.598	-1.358
we		57	29364	52	52	0	30	37.366	1.42
eager		58	962	10	10	0	8	36.453	3.973
when		59	37959	2	2	0	2	36.197	-3.651
knowing		60	1315	11	11	0	10	35.637	3.66
p		61	51177	6	6	0	1	35.073	-2.497
ghastly		62	343	7	7	0	5	34.594	4.946
ficant		63	7	3	3	0	2	34.368	9.339
searching		64	219	6	6	0	6	33.129	5.371
steady		65	619	8	8	0	7	32.467	4.287
her		66	158694	168	168	0	60	32.313	0.678
piteous		67	117	5	5	0	5	32.044	6.013
uneasy		68	421	7	7	0	6	31.801	4.651
should		69	20870	39	39	0	28	30.679	1.497
suspicious		70	272	6	6	0	6	30.565	5.059
sorrowful		71	283	6	6	0	5	30.099	5.001
dont		72	150	5	5	0	1	29.555	5.654
savage		73	549	7	7	0	5	28.227	4.268
meditative		74	75	4	4	0	3	27.426	6.332
terrified		75	384	6	6	0	6	26.536	4.561
regretful		76	22	3	3	0	3	26.423	7.687
bewildered		77	405	6	6	0	6	25.920	4.484
they		78	48771	65	65	0	42	25.682	1.01
piercing		79	222	5	5	0	5	25.675	5.089
threatening		80	227	5	5	0	3	25.456	5.056
cheerful		81	745	7	7	0	6	24.189	3.827
stony		82	120	4	4	0	4	23.644	5.654
scornful		83	122	4	4	0	4	23.512	5.63
languishing		84	37	3	3	0	3	23.145	6.937
scrutinizing		84	37	3	3	0	3	23.145	6.937
expressive		86	292	5	5	0	4	22.999	4.693
vacant		87	298	5	5	0	4	22.802	4.664
me		88	53207	67	67	0	41	22.740	0.928
their		89	36510	5	5	0	4	22.625	-2.273
an		90	44936	8	8	0	6	22.535	-1.894
rueful		91	41	3	3	0	3	22.509	6.789
ugly		92	313	5	5	0	5	22.327	4.593
are		93	33114	4	4	0	4	22.271	-2.454
pleading		94	146	4	4	0	4	22.085	5.371
frightened		95	569	6	6	0	5	22.032	3.994
only		96	20446	34	34	0	23	21.773	1.329
pitiful		97	158	4	4	0	4	21.460	5.257
sympathetic		98	160	4	4	0	4	21.361	5.239
penetrating		99	168	4	4	0	4	20.977	5.169
timid		100	378	5	5	0	4	20.512	4.321
startled		101	660	6	6	0	4	20.363	3.78
approving		102	61	3	3	0	3	20.077	6.215
beseeching		103	67	3	3	0	3	19.508	6.08
one		104	42659	54	54	0	32	18.582	0.935
menacing		105	79	3	3	0	3	18.514	5.842
nificant		106	12	2	2	0	2	18.482	7.976
shall		107	13910	25	25	0	18	18.403	1.441
stern		108	1187	7	7	0	7	18.228	3.155
deprecatory		109	13	2	2	0	2	18.134	7.861
sour		110	88	3	3	0	3	17.867	5.687
temptuous		111	14	2	2	0	2	17.815	7.754
how		112	18754	1	1	0	1	17.809	-3.634
mysterious		113	1688	8	8	0	8	17.764	2.84
all		114	54339	14	14	0	11	17.573	-1.361
picious		115	15	2	2	0	2	17.519	7.654
ploring		115	15	2	2	0	2	17.519	7.654
