"Look was" adjective
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
attributa		1	4	2	0	2	1	43.793	16.784
nnanswerabl		2	2	1	0	1	1	21.889	16.784
ble		3	708	2	0	2	1	21.873	9.316
imperturbably		4	22	1	0	1	1	16.526	13.324
tender		5	2722	2	0	2	2	16.500	7.373
uncalled		6	38	1	0	1	1	15.413	12.536
fixed		7	3822	2	0	2	2	15.151	6.884
bilious		8	46	1	0	1	1	15.026	12.26
still		9	25058	3	0	3	3	14.066	4.756
disregarded		10	128	1	0	1	1	12.966	10.784
bolts		11	154	1	0	1	1	12.595	10.517
wistful		12	200	1	0	1	1	12.071	10.14
