"Look of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
surprise		1	3448	29	0	29	22	223.520	6.975
triumph		2	1906	18	0	18	14	142.795	7.142
horror		3	2436	17	0	17	14	124.610	6.705
mingled		4	1606	14	0	14	12	108.799	7.026
astonishment		5	1340	13	0	13	10	103.795	7.181
displeasure		6	600	11	0	11	9	101.842	8.099
anxiety		7	2532	13	0	13	8	87.349	6.262
of		8	901896	6	0	6	6	82.481	-3.33
despair		9	2552	12	0	12	11	78.538	6.136
indignation		10	1508	10	0	10	9	72.250	6.632
deep		11	6864	14	0	14	10	68.733	4.931
interest		12	5900	13	0	13	10	65.764	5.042
contempt		13	1328	9	0	9	6	65.410	6.663
gratitude		14	2148	10	0	10	6	65.241	6.121
inquiry		15	1072	8	0	8	7	59.671	6.802
agony		16	2122	9	0	9	9	57.056	5.987
reproach		17	1302	8	0	8	8	56.581	6.522
amazement		18	698	7	0	7	7	56.332	7.228
pain		19	3500	10	0	10	7	55.638	5.417
ineffable		20	116	5	0	5	5	54.931	9.332
anguish		21	1556	8	0	8	8	53.755	6.264
to		22	816310	11	0	11	9	52.934	-2.311
disdain		23	468	6	0	6	5	51.228	7.583
anger		24	1892	8	0	8	8	50.664	5.982
pity		25	3454	9	0	9	9	48.450	5.284
defiance		26	668	6	0	6	6	46.962	7.069
disappointment		27	1404	7	0	7	6	46.607	6.22
disgust		28	786	6	0	6	4	45.018	6.835
tender		29	2722	8	0	8	7	44.945	5.458
wonder		30	4338	9	0	9	7	44.461	4.955
suspicion		31	1728	7	0	7	6	43.736	5.921
incredulity		32	126	4	0	4	3	41.454	8.891
proud		33	3474	8	0	8	7	41.137	5.106
admiration		34	2108	7	0	7	7	40.999	5.634
appeal		35	1124	6	0	6	5	40.756	6.319
sympathy		36	2176	7	0	7	7	40.563	5.588
rage		37	1462	6	0	6	3	37.639	5.939
sweetness		38	790	5	0	5	5	35.650	6.564
alarm		39	1910	6	0	6	5	34.486	5.554
intense		40	916	5	0	5	4	34.182	6.351
compassion		41	930	5	0	5	4	34.032	6.329
exultation		42	404	4	0	4	3	32.081	7.21
scorn		43	1282	5	0	5	4	30.862	5.866
resignation		44	480	4	0	4	3	30.706	6.961
terror		45	2642	6	0	6	4	30.685	5.086
extreme		46	1342	5	0	5	5	30.411	5.8
mortification		47	560	4	0	4	3	29.479	6.739
attentiveness		48	10	2	0	2	1	28.446	11.546
and		49	921244	107	0	107	47	28.442	0.796
calm		50	3326	6	0	6	5	28.010	4.753
supplication		51	164	3	0	3	3	27.750	8.096
peculiar		52	1912	5	0	5	5	26.942	5.289
inexpressible		53	190	3	0	3	3	26.863	7.883
joy		54	3676	6	0	6	5	26.855	4.609
unutterable		55	212	3	0	3	3	26.203	7.725
hatred		56	886	4	0	4	3	25.842	6.077
piteous		57	234	3	0	3	3	25.610	7.583
nausea		58	24	2	0	2	1	24.687	10.283
kindness		59	2598	5	0	5	5	23.964	4.847
had		60	231570	1	0	1	1	23.603	-3.953
weariness		61	348	3	0	3	3	23.231	7.01
sorrow		62	3058	5	0	5	5	22.394	4.612
deﬁance		63	48	2	0	2	2	21.831	9.283
perplexity		64	442	3	0	3	3	21.803	6.665
calmness		65	474	3	0	3	3	21.387	6.564
unconcern		66	54	2	0	2	2	21.351	9.113
expectancy		67	58	2	0	2	2	21.061	9.01
importance		68	1656	4	0	4	4	20.932	5.175
such		69	39460	13	0	13	9	20.794	2.3
triumphant		70	532	3	0	3	3	20.700	6.398
assent		71	540	3	0	3	3	20.611	6.376
agonised		72	68	2	0	2	2	20.415	8.781
sorrowful		73	566	3	0	3	3	20.332	6.308
tenderness		74	1818	4	0	4	4	20.207	5.04
telligence		75	74	2	0	2	1	20.073	8.659
humility		76	594	3	0	3	3	20.045	6.239
expostulation		77	78	2	0	2	2	19.860	8.583
abasement		78	80	2	0	2	2	19.758	8.546
fiendish		79	88	2	0	2	1	19.373	8.409
curiosity		80	2070	4	0	4	3	19.201	4.853
dismay		81	688	3	0	3	3	19.174	6.027
interrogation		82	96	2	0	2	2	19.022	8.283
hers		83	2152	4	0	4	4	18.901	4.797
the		84	1592480	66	0	66	42	18.720	-0.69
effrontery		85	106	2	0	2	2	18.623	8.14
deadly		86	758	3	0	3	3	18.601	5.887
exaltation		87	114	2	0	2	2	18.331	8.035
conscious		88	2318	4	0	4	3	18.328	4.689
stern		89	2374	4	0	4	3	18.144	4.655
amounting		90	122	2	0	2	2	18.058	7.937
eagerness		91	854	3	0	3	3	17.897	5.715
feebleness		92	128	2	0	2	2	17.865	7.868
great		93	27380	10	0	10	9	17.652	2.449
determination		94	972	3	0	3	3	17.135	5.528
mild		95	1014	3	0	3	3	16.886	5.467
significance		96	164	2	0	2	2	16.872	7.511
haughtiness		97	166	2	0	2	2	16.823	7.493
cold		98	5640	5	0	5	5	16.613	3.729
tipstaff		99	2	1	0	1	1	16.453	12.868
effable		99	2	1	0	1	1	16.453	12.868
wonderly		99	2	1	0	1	1	16.453	12.868
affectioa		99	2	1	0	1	1	16.453	12.868
witlierino		99	2	1	0	1	1	16.453	12.868
undisgnised		99	2	1	0	1	1	16.453	12.868
