Noun "in his look"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
something		1	6521	3	3	0	2	26.425	7.72
triumph		2	953	2	2	0	2	23.612	9.91
bashfulness		3	30	1	1	0	1	17.334	13.899
quenched		4	77	1	1	0	1	15.428	12.539
wildness		5	106	1	1	0	1	14.786	12.078
dejection		6	124	1	1	0	1	14.471	11.852
seriousness		7	131	1	1	0	1	14.360	11.773
acknowledgment		7	131	1	1	0	1	14.360	11.773
paternal		9	157	1	1	0	1	13.997	11.512
softness		10	204	1	1	0	1	13.472	11.134
assent		11	270	1	1	0	1	12.911	10.729
approbation		12	294	1	1	0	1	12.740	10.607
certainty		13	361	1	1	0	1	12.329	10.31
hatred		14	443	1	1	0	1	11.920	10.015
apparent		15	571	1	1	0	1	11.412	9.649
weight		16	694	1	1	0	1	11.022	9.367
dangerous		17	816	1	1	0	1	10.698	9.134
importance		18	828	1	1	0	1	10.669	9.113
winter		19	924	1	1	0	1	10.450	8.954
admiration		20	1054	1	1	0	1	10.187	8.765
sympathy		21	1088	1	1	0	1	10.124	8.719
meaning		22	1138	1	1	0	1	10.034	8.654
