Adjective/verb "manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	177572	414	414	0	86	992.545	2.929
a		2	297261	441	441	0	80	721.062	2.277
her		3	158694	254	254	0	72	439.406	2.387
this		4	57944	136	136	0	46	320.941	2.939
s		5	93515	168	168	0	59	320.473	2.553
the		6	796240	500	500	0	88	221.883	1.037
same		7	8011	50	50	0	29	207.198	4.35
like		8	21012	59	59	0	26	157.136	3.197
what		9	39570	73	73	0	42	141.400	2.591
peculiar		10	956	21	21	0	15	138.614	6.165
all		11	54339	78	78	0	34	119.250	2.229
of		12	450948	276	276	0	65	111.011	1.0
he		13	197952	2	2	0	2	104.331	-4.921
was		14	174500	2	2	0	2	90.298	-4.739
solemn		15	1104	15	15	0	11	84.708	5.472
abrupt		16	234	10	10	0	9	79.370	7.125
hurried		17	1038	14	14	0	10	78.855	5.461
altered		18	534	11	11	0	7	71.175	6.072
with		19	127370	1	1	0	1	68.984	-5.285
usual		20	2423	16	16	0	13	67.917	4.431
unceremonious		21	37	6	6	0	4	64.327	9.049
affectionate		22	630	10	10	0	9	59.530	5.696
clandestine		23	59	6	6	0	5	58.342	8.376
cordial		24	259	8	8	0	8	58.245	6.657
friendly		25	691	10	10	0	9	57.705	5.563
respectful		26	271	8	8	0	7	57.516	6.592
imperious		27	143	7	7	0	6	57.488	7.321
impressive		28	148	7	7	0	6	56.998	7.272
ungracious		29	79	6	6	0	5	54.687	7.955
mysterious		30	1688	12	12	0	8	52.626	4.538
and		31	460622	232	232	0	65	51.002	0.718
extraordinary		32	770	9	9	0	6	48.152	5.255
quiet		33	2127	12	12	0	9	47.328	4.204
straightforward		34	66	5	5	0	4	45.545	7.951
impetuous		35	174	6	6	0	3	45.012	6.816
graceful		36	597	8	8	0	7	44.948	5.452
hesitating		37	184	6	6	0	5	44.336	6.735
winning		38	215	6	6	0	5	42.457	6.51
emphatic		39	92	5	5	0	3	42.128	7.472
