"Manner was" adjective
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
changed		1	2960	5	0	5	4	40.894	7.321
so		2	103914	10	0	10	9	26.637	3.187
cold		3	5640	4	0	4	4	25.824	6.069
ungracious		4	158	2	0	2	2	24.395	10.226
perfectly		5	2934	3	0	3	1	21.527	6.596
tramp		6	350	2	0	2	1	21.204	9.079
singularly		7	356	2	0	2	1	21.136	9.054
calm		8	3326	3	0	3	2	20.783	6.415
reinained		9	2	1	0	1	1	20.146	15.53
quite		10	13990	4	0	4	4	18.729	4.758
reserved		11	692	2	0	2	2	18.479	8.095
softened		12	808	2	0	2	2	17.860	7.872
collected		13	812	2	0	2	2	17.841	7.865
calculated		14	890	2	0	2	2	17.475	7.732
very		15	54276	6	0	6	6	17.416	3.387
gulated		16	8	1	0	1	1	16.891	13.53
absent		17	1288	2	0	2	2	16.003	7.199
benignly		18	16	1	0	1	1	15.438	12.53
assum		19	20	1	0	1	1	14.979	12.208
truculent		19	20	1	0	1	1	14.979	12.208
odd		21	1732	2	0	2	2	14.827	6.772
hurried		22	2076	2	0	2	2	14.109	6.51
jocund		23	34	1	0	1	1	13.896	11.443
excited		24	2236	2	0	2	2	13.816	6.403
flurried		25	36	1	0	1	1	13.781	11.36
suave		25	36	1	0	1	1	13.781	11.36
indescribably		27	42	1	0	1	1	13.468	11.138
expansive		28	48	1	0	1	1	13.198	10.945
