Noun "of manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
change		1	2812	13	13	0	10	117.889	7.941
grace		2	1726	11	11	0	9	106.730	8.404
ease		3	880	9	9	0	7	95.787	9.086
frankness		4	190	6	6	0	5	77.436	10.713
sort		5	3105	9	9	0	7	73.106	7.267
coldness		6	308	6	6	0	5	71.570	10.016
dignity		7	984	6	6	0	4	57.575	8.34
simplicity		8	471	5	5	0	4	53.515	9.14
gracefulness		9	24	3	3	0	3	47.233	12.698
gravity		10	312	4	4	0	4	44.314	9.412
reserve		11	492	4	4	0	4	40.658	8.755
ness		12	1782	5	5	0	5	40.218	7.22
charm		13	663	4	4	0	4	38.269	8.325
seriousness		14	131	3	3	0	2	36.732	10.249
tenderness		15	909	4	4	0	3	35.747	7.87
affectation		16	168	3	3	0	2	35.225	9.89
elegance		17	190	3	3	0	3	34.482	9.713
gentleness		18	251	3	3	0	3	32.802	9.311
firmness		19	300	3	3	0	3	31.728	9.054
courtesy		20	365	3	3	0	3	30.548	8.771
decision		21	451	3	3	0	3	29.277	8.466
warmth		22	457	3	3	0	2	29.198	8.447
pleasantry		23	39	2	2	0	2	27.762	11.412
abruptness		24	49	2	2	0	1	26.828	11.083
perturbation		25	54	2	2	0	1	26.431	10.943
freedom		26	814	3	3	0	2	25.739	7.614
fierceness		27	74	2	2	0	2	25.151	10.488
quietness		28	81	2	2	0	2	24.785	10.358
peculiarity		29	98	2	2	0	2	24.015	10.083
kindness		30	1299	3	3	0	3	22.948	6.939
refinement		31	147	2	2	0	2	22.381	9.498
abstraction		32	150	2	2	0	1	22.300	9.469
insolenee		33	1	1	1	0	1	21.765	15.698
driness		33	1	1	1	0	1	21.765	15.698
distractedness		33	1	1	1	0	1	21.765	15.698
simplicities		33	1	1	1	0	1	21.765	15.698
iarities		33	1	1	1	0	1	21.765	15.698
distemperature		33	1	1	1	0	1	21.765	15.698
vehemence		39	190	2	2	0	1	21.350	9.128
alteration		40	194	2	2	0	2	21.267	9.098
softness		41	204	2	2	0	1	21.065	9.025
calmness		42	237	2	2	0	2	20.464	8.809
solemnity		43	253	2	2	0	2	20.202	8.715
earnestness		44	305	2	2	0	2	19.454	8.445
composure		45	338	2	2	0	2	19.043	8.297
jierte		46	2	1	1	0	1	18.993	14.698
impetuousness		46	2	1	1	0	1	18.993	14.698
gaiety		48	380	2	2	0	2	18.574	8.128
sweetness		49	395	2	2	0	2	18.420	8.072
eagerness		50	427	2	2	0	2	18.108	7.96
courtliness		51	3	1	1	0	1	17.946	14.113
inelegance		51	3	1	1	0	1	17.946	14.113
queenliness		51	3	1	1	0	1	17.946	14.113
peremptoriness		51	3	1	1	0	1	17.946	14.113
control		55	466	2	2	0	2	17.760	7.833
acerbity		56	4	1	1	0	1	17.267	13.698
delineations		56	4	1	1	0	1	17.267	13.698
considerateness		58	5	1	1	0	1	16.761	13.376
tinacity		58	5	1	1	0	1	16.761	13.376
courteousness		58	5	1	1	0	1	16.761	13.376
tleness		58	5	1	1	0	1	16.761	13.376
doggedness		62	6	1	1	0	1	16.359	13.113
brusqueness		62	6	1	1	0	1	16.359	13.113
lemnity		62	6	1	1	0	1	16.359	13.113
expansiveness		65	7	1	1	0	1	16.024	12.89
incoherency		66	8	1	1	0	1	15.737	12.698
agitation		67	821	2	2	0	2	15.504	7.016
aloofness		68	9	1	1	0	1	15.487	12.528
naiveté		69	10	1	1	0	1	15.264	12.376
diality		70	12	1	1	0	1	14.882	12.113
pomposity		71	16	1	1	0	1	14.284	11.698
prominence		71	16	1	1	0	1	14.284	11.698
incoherence		73	20	1	1	0	1	13.825	11.376
ality		74	21	1	1	0	1	13.725	11.305
roughness		74	21	1	1	0	1	13.725	11.305
inconsistencies		74	21	1	1	0	1	13.725	11.305
suavity		77	26	1	1	0	1	13.289	10.997
dryness		77	26	1	1	0	1	13.289	10.997
flourishes		79	29	1	1	0	1	13.067	10.84
