Noun "of his manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
peculiarity		1	98	2	2	0	2	29.602	12.083
vehemence		2	190	2	2	0	2	26.934	11.128
ardour		3	224	2	2	0	2	26.273	10.89
solemnity		4	253	2	2	0	2	25.784	10.715
severity		5	266	2	2	0	1	25.583	10.642
earnestness		6	305	2	2	0	1	25.034	10.445
suasiveness		7	1	1	1	0	1	24.549	17.698
courtesy		8	365	2	2	0	2	24.314	10.186
reserve		9	492	2	2	0	2	23.118	9.755
freedom		10	814	2	2	0	2	21.104	9.029
agitation		11	821	2	2	0	2	21.070	9.016
terribleness		12	3	1	1	0	1	20.730	16.113
respectfulness		13	4	1	1	0	1	20.050	15.698
petuosity		14	5	1	1	0	1	19.545	15.376
carefulness		15	9	1	1	0	1	18.270	14.528
negation		16	15	1	1	0	1	17.201	13.791
roughness		17	21	1	1	0	1	16.508	13.305
eccentricity		18	22	1	1	0	1	16.413	13.238
suavity		19	26	1	1	0	1	16.072	12.997
dryness		19	26	1	1	0	1	16.072	12.997
urgency		21	42	1	1	0	1	15.098	12.305
effrontery		22	53	1	1	0	1	14.628	11.97
quietness		23	81	1	1	0	1	13.773	11.358
haughtiness		24	83	1	1	0	1	13.724	11.323
polish		25	92	1	1	0	1	13.517	11.174
indolence		26	99	1	1	0	1	13.370	11.068
wildness		27	106	1	1	0	1	13.232	10.97
serenity		28	160	1	1	0	1	12.406	10.376
affectation		29	168	1	1	0	1	12.308	10.305
vivacity		30	170	1	1	0	1	12.285	10.288
coolness		31	186	1	1	0	1	12.104	10.159
frankness		32	190	1	1	0	1	12.062	10.128
alteration		33	194	1	1	0	1	12.020	10.098
familiarity		34	199	1	1	0	1	11.969	10.061
rapidity		35	209	1	1	0	1	11.871	9.99
graces		36	233	1	1	0	1	11.653	9.833
calmness		37	237	1	1	0	1	11.619	9.809
politeness		38	259	1	1	0	1	11.441	9.681
embarrassment		39	294	1	1	0	1	11.188	9.498
