Noun "in his manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
change		1	2812	4	4	0	4	35.178	7.749
dignity		2	984	3	3	0	3	30.916	8.849
wildness		3	106	2	2	0	2	27.906	11.478
appeared		4	3976	3	3	0	3	22.569	6.834
arities		5	3	1	1	0	1	20.044	15.621
traught		5	3	1	1	0	1	20.044	15.621
something		7	6521	3	3	0	3	19.633	6.12
dominance		8	4	1	1	0	1	19.365	15.206
sinuating		9	7	1	1	0	1	18.122	14.399
complaisant		10	15	1	1	0	1	16.516	13.299
pride		11	1941	2	2	0	2	16.263	7.284
barrassment		12	20	1	1	0	1	15.923	12.884
unreserved		13	23	1	1	0	1	15.637	12.683
dryness		14	26	1	1	0	1	15.386	12.506
deprecation		14	26	1	1	0	1	15.386	12.506
jonathan		16	28	1	1	0	1	15.235	12.399
variations		17	34	1	1	0	1	14.841	12.119
stiffness		18	39	1	1	0	1	14.563	11.921
preoccupied		19	44	1	1	0	1	14.318	11.747
ungracious		20	79	1	1	0	1	13.138	10.903
satire		21	94	1	1	0	1	12.789	10.652
restlessness		22	95	1	1	0	1	12.767	10.636
impertinence		23	106	1	1	0	1	12.547	10.478
softening		24	109	1	1	0	1	12.491	10.438
alacrity		25	110	1	1	0	1	12.473	10.425
quickness		26	115	1	1	0	1	12.384	10.361
bility		27	120	1	1	0	1	12.298	10.299
cordiality		28	132	1	1	0	1	12.107	10.162
ation		29	135	1	1	0	1	12.062	10.129
pathos		30	139	1	1	0	1	12.003	10.087
dent		31	150	1	1	0	1	11.851	9.977
abstraction		31	150	1	1	0	1	11.851	9.977
