Noun "in her manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
change		1	2812	5	5	0	5	49.905	8.583
vivacity		2	170	2	2	0	2	27.441	11.309
restraint		3	271	2	2	0	2	25.568	10.637
coldness		4	308	2	2	0	2	25.054	10.452
revirified		5	1	1	1	0	1	24.578	17.719
hesitation		6	422	2	2	0	2	23.792	9.998
crossness		7	3	1	1	0	1	20.759	16.134
confusion		8	901	2	2	0	2	20.757	8.903
censoriousness		9	5	1	1	0	1	19.574	15.397
nebulous		10	8	1	1	0	1	18.550	14.719
ﬁrmness		11	9	1	1	0	1	18.299	14.549
proval		12	11	1	1	0	1	17.876	14.259
complaisant		13	15	1	1	0	1	17.230	13.812
naive		14	21	1	1	0	1	16.538	13.326
elation		15	41	1	1	0	1	15.176	12.361
petulance		16	46	1	1	0	1	14.943	12.195
lected		17	58	1	1	0	1	14.475	11.861
theatrical		18	67	1	1	0	1	14.184	11.653
quietness		19	81	1	1	0	1	13.802	11.379
fusion		20	99	1	1	0	1	13.399	11.089
condescension		21	111	1	1	0	1	13.169	10.924
something		22	6521	2	2	0	2	12.887	6.048
timidity		23	142	1	1	0	1	12.675	10.569
vehemence		24	190	1	1	0	1	12.091	10.149
elegance		24	190	1	1	0	1	12.091	10.149
alteration		26	194	1	1	0	1	12.049	10.119
cordial		27	259	1	1	0	1	11.471	9.702
