"Manner of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
speaking		1	3716	16	0	16	15	119.114	6.787
speech		2	3194	8	0	8	4	50.923	6.005
life		3	30362	14	0	14	9	43.683	3.564
death		4	10980	9	0	9	6	37.746	4.394
man		5	53266	15	0	15	12	33.616	2.852
address		6	2352	5	0	5	5	30.200	5.769
one		7	85318	17	0	17	14	28.280	2.353
living		8	4022	5	0	5	5	24.960	4.995
doing		9	4330	5	0	5	5	24.245	4.888
his		10	355144	35	0	35	26	22.997	1.338
ancients		11	74	2	0	2	2	22.228	9.437
notice		12	2706	4	0	4	3	21.311	5.244
disposing		13	100	2	0	2	2	21.012	9.002
excesses		14	134	2	0	2	1	19.833	8.58
in		15	458558	3	0	3	3	19.249	-2.575
carrying		16	1232	3	0	3	3	18.916	5.965
of		17	901896	13	0	13	12	18.904	-1.436
delivery		18	174	2	0	2	2	18.785	8.203
addressing		19	1332	3	0	3	3	18.455	5.852
flowerpots		20	2	1	0	1	1	17.532	13.646
skoldes		20	2	1	0	1	1	17.532	13.646
oremus		20	2	1	0	1	1	17.532	13.646
lases		20	2	1	0	1	1	17.532	13.646
weeds		24	246	2	0	2	2	17.398	7.704
shapes		25	254	2	0	2	1	17.270	7.658
performing		26	262	2	0	2	2	17.147	7.613
excuses		27	270	2	0	2	2	17.026	7.57
hermanric		28	278	2	0	2	1	16.910	7.527
tribe		29	284	2	0	2	2	16.825	7.497
accepting		30	326	2	0	2	2	16.274	7.298
skolding		31	4	1	0	1	1	15.807	12.646
slackbridges		31	4	1	0	1	1	15.807	12.646
larve		31	4	1	0	1	1	15.807	12.646
plaving		31	4	1	0	1	1	15.807	12.646
pervad		31	4	1	0	1	1	15.807	12.646
ways		36	2158	3	0	3	3	15.622	5.156
those		37	24938	7	0	7	6	15.612	2.848
