Adjective "appearance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
an		1	11289	45	45	0	14	191.001	4.395
the		2	195227	132	132	0	17	158.465	1.835
his		3	52638	61	61	0	15	122.364	2.613
outward		4	71	10	10	0	5	113.855	9.538
personal		5	308	11	11	0	5	93.924	7.558
all		6	16267	32	32	0	10	93.066	3.376
genteel		7	131	7	7	0	5	65.478	8.14
their		8	7226	17	17	0	10	54.734	3.634
first		9	3677	12	12	0	6	45.904	4.106
in		10	70128	44	44	0	12	45.196	1.728
whose		11	1192	8	8	0	6	41.658	5.147
general		12	1213	8	8	0	5	41.385	5.121
your		13	9640	16	16	0	10	41.378	3.131
to		14	109285	1	1	0	1	33.856	-4.372
her		15	31885	25	25	0	12	33.573	2.049
remarkable		16	426	5	5	0	5	31.512	5.953
whole		17	1564	7	7	0	7	30.950	4.562
promising		18	65	3	3	0	3	27.149	7.928
last		19	3287	8	8	0	1	26.180	3.683
splendid		20	81	3	3	0	3	25.806	7.611
disreputable		21	10	2	2	0	2	24.285	10.044
opportune		22	15	2	2	0	2	22.515	9.459
spruce		22	15	2	2	0	2	22.515	9.459
clerical		24	17	2	2	0	2	21.981	9.278
apoplectic		25	23	2	2	0	2	20.708	8.842
external		25	23	2	2	0	2	20.708	8.842
sinister		27	27	2	2	0	2	20.041	8.611
courtly		28	29	2	2	0	2	19.745	8.508
prepossessing		29	38	2	2	0	2	18.633	8.118
uncouth		30	40	2	2	0	2	18.423	8.044
mechanical		30	40	2	2	0	1	18.423	8.044
thriving		30	40	2	2	0	2	18.423	8.044
non		33	47	2	2	0	2	17.766	7.811
animated		34	50	2	2	0	2	17.514	7.722
floury		35	1	1	1	0	1	17.144	12.366
rude		36	55	2	2	0	1	17.127	7.584
its		37	4680	7	7	0	7	16.755	2.981
sudden		38	377	3	3	0	2	16.603	5.392
s		39	28018	17	17	0	8	16.371	1.679
agreeable		40	410	3	3	0	3	16.110	5.271
least		41	1099	4	4	0	4	16.091	4.264
vacant		42	74	2	2	0	1	15.928	7.156
elegant		43	77	2	2	0	2	15.768	7.099
great		44	5239	7	7	0	4	15.385	2.818
momentary		45	87	2	2	0	2	15.278	6.923
venerable		46	88	2	2	0	2	15.232	6.906
shabby		47	91	2	2	0	2	15.097	6.858
suspicious		48	105	2	2	0	2	14.524	6.652
uninviting		49	2	1	1	0	1	14.372	11.366
youthful		50	128	2	2	0	2	13.734	6.366
