Adjective "countenance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	52638	89	89	0	12	308.868	3.725
s		2	28018	45	45	0	12	148.342	3.651
of		3	104880	60	60	0	13	90.988	2.162
a		4	90618	43	43	0	12	51.914	1.892
her		5	31885	25	25	0	13	49.696	2.617
rueful		6	26	4	4	0	3	49.429	10.233
speaking		7	679	7	7	0	1	47.796	6.334
expressive		8	213	5	5	0	4	42.347	7.521
whose		9	1192	7	7	0	5	40.015	5.522
forbidding		10	13	3	3	0	1	39.763	10.818
shell		11	53	3	3	0	1	30.761	8.79
censorious		12	4	2	2	0	1	30.322	11.933
humoured		13	84	3	3	0	3	27.941	8.126
immovable		13	84	3	3	0	3	27.941	8.126
severe		15	118	3	3	0	3	25.879	7.636
inflamed		16	17	2	2	0	1	23.555	9.846
whole		17	1564	5	5	0	4	22.650	4.644
thoughtful		18	209	3	3	0	2	22.439	6.811
composed		19	210	3	3	0	3	22.410	6.804
steady		20	230	3	3	0	3	21.866	6.673
solemn		21	293	3	3	0	2	20.421	6.324
demd		22	40	2	2	0	1	19.995	8.612
unmoved		23	52	2	2	0	1	18.925	8.233
cheerful		24	404	3	3	0	2	18.513	5.86
anxious		25	419	3	3	0	3	18.297	5.808
benevolent		26	61	2	2	0	1	18.277	8.003
serene		27	66	2	2	0	1	17.958	7.889
incrimsoned		28	1	1	1	0	1	17.931	12.933
phosphoric		28	1	1	1	0	1	17.931	12.933
beaming		30	72	2	2	0	2	17.607	7.764
human		31	495	3	3	0	3	17.313	5.567
intellectual		32	79	2	2	0	2	17.232	7.63
and		33	144982	4	4	0	4	17.211	-2.212
glowing		34	80	2	2	0	1	17.181	7.612
to		35	109285	2	2	0	2	16.442	-2.804
indignant		36	122	2	2	0	2	15.487	7.003
stern		37	141	2	2	0	2	14.908	6.794
marked		38	164	2	2	0	1	14.306	6.576
disappointed		39	176	2	2	0	1	14.024	6.474
crabbed		40	4	1	1	0	1	13.434	10.933
