Noun "of his countenance"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
expression		1	1590	4	4	0	3	44.397	9.351
lineament		2	12	1	1	0	1	18.082	14.401
sanction		3	26	1	1	0	1	16.488	13.286
workings		4	32	1	1	0	1	16.066	12.986
breadth		5	82	1	1	0	1	14.165	11.628
the		6	390454	7	7	0	7	11.593	2.219
gravity		7	304	1	1	0	1	11.537	9.738
parts		8	316	1	1	0	1	11.460	9.682
solemn		9	586	1	1	0	1	10.225	8.791
falling		10	636	1	1	0	1	10.061	8.673
sudden		11	754	1	1	0	1	9.722	8.428
