Adjective "expression"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
an		1	11289	107	107	0	16	640.943	5.63
its		2	4680	25	25	0	12	119.106	4.803
the		3	195227	113	113	0	17	106.683	1.597
remarkable		4	426	10	10	0	8	76.707	6.938
same		5	3109	15	15	0	11	68.336	4.656
strong		6	1154	9	9	0	8	49.340	5.349
mixed		7	94	5	5	0	5	46.610	8.119
severe		8	118	5	5	0	4	44.289	7.79
comical		9	35	4	4	0	3	43.645	9.222
perplexed		10	79	4	4	0	3	36.879	8.047
figurative		11	21	3	3	0	3	34.161	9.544
exact		12	113	4	4	0	3	33.966	7.531
mingled		13	131	4	4	0	4	32.770	7.318
curious		14	377	5	5	0	4	32.624	6.115
sinister		15	27	3	3	0	2	32.551	9.181
intent		16	143	4	4	0	3	32.063	7.191
anxious		17	419	5	5	0	3	31.577	5.962
singular		18	179	4	4	0	4	30.258	6.867
involuntary		19	49	3	3	0	3	28.824	8.321
great		20	5239	10	10	0	6	28.121	3.318
terrible		21	250	4	4	0	3	27.586	6.385
benign		22	6	2	2	0	1	26.613	10.766
faint		23	287	4	4	0	3	26.488	6.186
horrified		24	10	2	2	0	2	24.245	10.029
distinct		25	106	3	3	0	2	24.115	7.208
new		26	1757	6	6	0	5	23.310	4.157
vague		27	124	3	3	0	2	23.168	6.982
adequate		28	13	2	2	0	2	23.092	9.651
stern		29	141	3	3	0	3	22.395	6.797
attentive		30	145	3	3	0	3	22.226	6.756
alarmed		31	154	3	3	0	3	21.865	6.669
benignant		32	25	2	2	0	1	20.320	8.707
beyond		33	632	4	4	0	3	20.274	5.047
in		34	70128	1	1	0	1	19.848	-3.746
dissatisfied		35	29	2	2	0	2	19.705	8.493
familiar		36	260	3	3	0	3	18.739	5.914
customary		37	41	2	2	0	1	18.282	7.994
of		38	104880	41	41	0	12	17.285	1.03
sprightliest		39	1	1	1	0	1	17.124	12.351
concentrated		40	55	2	2	0	2	17.087	7.57
serene		41	66	2	2	0	2	16.349	7.307
labouring		42	69	2	2	0	2	16.170	7.243
sweet		43	405	3	3	0	2	16.122	5.274
low		44	1127	4	4	0	2	15.824	4.213
mournful		45	78	2	2	0	2	15.676	7.066
appropriate		46	80	2	2	0	2	15.575	7.029
momentary		47	87	2	2	0	1	15.238	6.908
genuine		48	91	2	2	0	2	15.057	6.843
infinite		49	97	2	2	0	2	14.801	6.751
it		50	55557	1	1	0	1	14.658	-3.41
