Noun "of expression"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
form		1	671	5	5	0	4	56.951	9.56
change		2	842	4	4	0	4	41.849	8.911
changes		3	176	3	3	0	3	39.004	10.754
amount		4	240	3	3	0	2	37.131	10.307
likeness		5	109	2	2	0	2	26.249	10.86
kind		6	1669	3	3	0	3	25.489	7.509
vagueness		7	3	1	1	0	1	19.257	15.044
sort		8	952	2	2	0	1	17.563	7.734
turn		9	1023	2	2	0	2	17.277	7.63
channels		10	9	1	1	0	1	16.798	13.459
shoots		11	12	1	1	0	1	16.193	13.044
familiarity		12	34	1	1	0	1	14.054	11.541
succession		13	70	1	1	0	1	12.595	10.499
simplicity		14	89	1	1	0	1	12.112	10.153
trace		15	98	1	1	0	1	11.919	10.014
capable		16	102	1	1	0	1	11.838	9.956
powers		17	147	1	1	0	1	11.105	9.429
variety		18	212	1	1	0	1	10.372	8.901
ceremony		19	217	1	1	0	1	10.326	8.867
turns		20	240	1	1	0	1	10.124	8.722
