Adjective "face"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	52638	1145	1145	0	20	4943.888	4.291
her		2	31885	633	633	0	20	2547.777	4.159
s		3	28018	381	381	0	20	1240.652	3.613
pale		4	436	39	39	0	14	269.098	6.331
my		5	25242	133	133	0	16	206.994	2.246
handsome		6	416	27	27	0	11	168.461	5.868
the		7	195227	423	423	0	20	162.913	0.964
and		8	144982	36	36	0	11	145.865	-2.162
your		9	9640	64	64	0	18	123.159	2.579
it		10	55557	1	1	0	1	114.078	-5.948
pretty		11	1369	28	28	0	13	110.830	4.202
he		12	53122	1	1	0	1	108.683	-5.883
whose		13	1192	26	26	0	12	106.110	4.295
flushed		14	117	14	14	0	9	105.039	6.751
haggard		15	87	13	13	0	11	103.687	7.071
you		16	50707	1	1	0	1	103.340	-5.816
attentive		17	145	13	13	0	6	89.689	6.334
fiery		18	75	11	11	0	3	87.290	7.045
in		19	70128	13	13	0	10	84.256	-2.583
red		20	857	20	20	0	9	84.201	4.393
sweet		21	405	16	16	0	11	83.836	5.152
smiling		22	440	16	16	0	8	81.209	5.033
was		23	46414	3	3	0	3	80.635	-4.103
with		24	40236	2	2	0	2	73.422	-4.482
radiant		25	67	9	9	0	5	69.723	6.918
beautiful		26	659	16	16	0	7	68.571	4.45
bright		27	780	16	16	0	8	63.384	4.207
upturned		28	15	6	6	0	6	61.467	8.492
beaming		29	72	8	8	0	6	58.764	6.644
sunburnt		30	27	6	6	0	6	53.080	7.644
of		31	104880	48	48	0	14	52.990	-1.28
sallow		32	30	6	6	0	5	51.667	7.492
cadaverous		33	15	5	5	0	2	48.957	8.229
thoughtful		34	209	9	9	0	7	48.687	5.276
worn		35	344	10	10	0	9	46.345	4.71
white		36	781	13	13	0	9	46.335	3.905
that		37	56316	18	18	0	11	44.755	-1.797
wry		38	23	5	5	0	4	43.985	7.612
own		39	4598	26	26	0	14	43.021	2.348
ingenuous		40	26	5	5	0	4	42.620	7.435
anxious		41	419	10	10	0	6	42.513	4.425
altered		42	214	8	8	0	6	41.029	5.072
