"Face was" verb/adj
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
pale		1	872	8	0	8	5	70.931	7.808
hidden		2	338	6	0	6	5	61.110	8.761
turned		3	4012	9	0	9	7	54.650	5.776
flushed		4	234	5	0	5	5	52.779	9.028
wrinkled		5	52	3	0	3	3	37.714	10.461
towards		6	4024	6	0	6	6	31.584	5.187
very		7	23492	9	0	9	8	24.376	3.227
pleasanter		8	46	2	0	2	2	23.977	10.053
ashy		9	52	2	0	2	2	23.476	9.876
fiery		10	150	2	0	2	1	19.196	8.348
capable		11	204	2	0	2	2	17.963	7.904
unshadowed		12	2	1	0	1	1	17.438	13.577
strange		13	1568	3	0	3	3	17.228	5.547
intent		14	286	2	0	2	1	16.613	7.417
buried		15	302	2	0	2	2	16.395	7.338
thin		16	354	2	0	2	2	15.762	7.109
cleansed		17	4	1	0	1	1	15.712	12.577
composed		18	420	2	0	2	2	15.082	6.862
still		19	5874	4	0	4	2	15.019	4.056
craftily		20	6	1	0	1	1	14.804	11.992
deeply		21	478	2	0	2	2	14.568	6.676
almost		22	2606	3	0	3	3	14.262	4.814
so		23	36440	8	0	8	6	13.986	2.423
wet		24	554	2	0	2	2	13.983	6.463
not		25	46604	9	0	9	6	13.893	2.238
crimsoned		26	10	1	0	1	1	13.710	11.255
hardening		27	12	1	0	1	1	13.327	10.992
talisman		27	12	1	0	1	1	13.327	10.992
lighted		29	668	2	0	2	2	13.242	6.193
