Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
expression		1	795	19	19	0	8	233.033	10.107
muscle		2	16	6	6	0	6	108.116	14.079
part		3	1811	6	6	0	3	48.860	7.257
side		4	1881	5	5	0	4	38.469	6.939
examination		5	77	2	2	0	2	24.457	10.227
gravity		6	152	2	2	0	2	21.714	9.246
wryness		7	1	1	1	0	1	21.491	15.494
working		8	301	2	2	0	2	18.974	8.261
haggardness		9	2	1	1	0	1	18.718	14.494
homeliness		9	2	1	1	0	1	18.718	14.494
lineament		11	6	1	1	0	1	16.084	12.909
thinness		11	6	1	1	0	1	16.084	12.909
contortions		13	10	1	1	0	1	14.989	12.172
lengthening		14	13	1	1	0	1	14.440	11.794
whiteness		14	13	1	1	0	1	14.440	11.794
map		16	14	1	1	0	1	14.286	11.687
lineaments		16	14	1	1	0	1	14.286	11.687
nerve		18	19	1	1	0	1	13.656	11.246
ugliness		19	23	1	1	0	1	13.265	10.971
wildness		20	28	1	1	0	1	12.864	10.687
scrutiny		21	29	1	1	0	1	12.792	10.636
inches		22	40	1	1	0	1	12.140	10.172
purple		23	41	1	1	0	1	12.090	10.137
touches		24	43	1	1	0	1	11.993	10.068
observant		25	57	1	1	0	1	11.425	9.661
survey		26	59	1	1	0	1	11.355	9.612
exultation		27	61	1	1	0	1	11.288	9.563
region		28	64	1	1	0	1	11.191	9.494
perplexity		28	64	1	1	0	1	11.191	9.494
