Face of "noun"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
earth		1	1062	28	0	28	10	286.388	8.758
paleness		2	38	5	0	5	2	67.522	11.077
the		3	390454	69	0	69	16	60.945	1.537
ashy		4	52	4	0	4	2	49.483	10.303
terror		5	402	3	0	3	3	22.938	6.937
man		6	17792	9	0	9	7	22.399	3.054
unutterable		7	56	2	0	2	2	21.583	9.196
hers		8	582	3	0	3	3	20.733	6.403
landless		9	112	2	0	2	1	18.780	8.196
mrs		10	17438	8	0	8	5	18.530	2.913
providence		11	124	2	0	2	2	18.371	8.049
newman		12	960	3	0	3	1	17.770	5.681
mr		13	59134	14	0	14	7	17.436	1.959
quilp		14	1134	3	0	3	1	16.790	5.441
interrupter		15	2	1	0	1	1	16.642	13.003
great		16	10478	6	0	6	6	16.227	3.233
blank		17	302	2	0	2	1	14.813	6.765
his		18	105276	18	0	18	11	14.255	1.489
craftiness		19	6	1	0	1	1	14.008	11.418
capability		19	6	1	0	1	1	14.008	11.418
