Adjective "look"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
to		1	218570	907	907	0	20	1396.552	2.177
a		2	181236	595	595	0	19	685.868	1.839
of		3	209760	35	35	0	14	199.016	-2.459
t		4	31516	113	113	0	20	141.036	1.966
did		5	10210	63	63	0	16	133.541	2.75
don		6	12770	63	63	0	16	109.940	2.427
searching		7	148	13	13	0	10	94.049	6.581
was		8	92828	15	15	0	12	88.941	-2.505
steady		9	460	16	16	0	9	85.738	5.245
in		10	140256	40	40	0	17	84.986	-1.686
another		11	6812	38	38	0	14	73.964	2.604
an		12	22578	69	69	0	15	69.892	1.736
the		13	390454	215	215	0	19	69.788	-0.737
you		14	101414	182	182	0	19	67.443	0.968
does		15	2662	23	23	0	12	62.257	3.235
let		16	5920	32	32	0	11	60.582	2.559
inquiring		17	204	10	10	0	8	60.434	5.74
now		18	16652	54	54	0	16	59.203	1.822
fixed		19	806	14	14	0	8	56.066	4.243
cunning		20	262	10	10	0	5	55.425	5.379
tried		21	1234	16	16	0	6	55.224	3.821
steadfast		22	48	6	6	0	5	47.839	7.09
for		23	58678	14	14	0	10	42.194	-1.943
so		24	36440	4	4	0	4	42.017	-3.063
eager		25	250	8	8	0	5	41.541	5.124
happening		26	154	7	7	0	6	41.239	5.631
do		27	21114	53	53	0	15	39.634	1.452
at		28	56752	14	14	0	11	39.575	-1.895
expressive		29	426	9	9	0	6	39.427	4.525
sidelong		30	42	5	5	0	5	39.348	7.02
be		31	45804	9	9	0	7	38.477	-2.223
trying		32	652	10	10	0	7	37.673	4.063
that		33	112632	48	48	0	16	37.494	-1.106
steal		34	130	6	6	0	6	35.531	5.653
menacing		35	62	5	5	0	5	35.284	6.458
mr		36	59134	17	17	0	10	35.258	-1.674
would		37	22230	52	52	0	17	34.305	1.35
placid		38	146	6	6	0	3	34.136	5.485
sly		39	150	6	6	0	5	33.812	5.446
said		40	57878	17	17	0	10	33.671	-1.643
had		41	61126	19	19	0	11	33.236	-1.562
it		42	111114	50	50	0	16	33.030	-1.028
imploring		43	80	5	5	0	4	32.673	6.09
upon		44	22056	1	1	0	1	32.522	-4.339
momentary		45	174	6	6	0	4	32.041	5.232
could		46	15492	40	40	0	15	31.333	1.493
arch		47	96	5	5	0	4	30.825	5.827
is		48	46180	12	12	0	7	30.603	-1.82
reproachful		49	100	5	5	0	4	30.413	5.768
shrewd		50	106	5	5	0	4	29.827	5.684
stopping		51	766	9	9	0	6	29.404	3.679
continued		52	768	9	9	0	7	29.360	3.675
wistful		53	44	4	4	0	3	29.219	6.631
been		54	23146	2	2	0	2	29.086	-3.408
threatening		55	230	6	6	0	2	28.744	4.83
chancing		56	12	3	3	0	2	28.485	8.09
contemptuous		57	122	5	5	0	5	28.419	5.481
appealing		57	122	5	5	0	5	28.419	5.481
were		59	27504	4	4	0	4	27.808	-2.657
which		60	31972	6	6	0	5	27.712	-2.289
sharp		61	886	9	9	0	8	26.990	3.469
with		62	80472	122	122	0	16	26.547	0.725
intent		63	286	6	6	0	5	26.201	4.515
plaintive		64	70	4	4	0	1	25.410	5.961
keen		65	166	5	5	0	5	25.364	5.037
angry		66	720	8	8	0	7	25.309	3.598
ache		67	74	4	4	0	1	24.960	5.881
parting		68	510	7	7	0	6	24.901	3.903
haggard		68	174	5	5	0	5	24.901	4.969
same		70	6218	21	21	0	11	24.213	1.88
anxious		71	838	8	8	0	7	23.084	3.379
need		72	1148	9	9	0	6	22.786	3.095
stopped		73	2214	12	12	0	8	22.751	2.563
my		74	50484	18	18	0	8	22.731	-1.364
startled		75	224	5	5	0	4	22.434	4.605
word		76	4130	16	16	0	9	21.729	2.078
stole		77	246	5	5	0	5	21.528	4.469
this		78	38878	12	12	0	8	21.281	-1.572
he		79	106244	56	56	0	19	21.119	-0.8
must		80	8050	23	23	0	12	21.088	1.639
ll		81	7630	22	22	0	11	20.444	1.652
woful		82	6	2	2	0	1	20.345	8.505
pretending		83	134	4	4	0	3	20.220	5.024
mrs		84	17438	2	2	0	1	19.717	-3.0
sir		85	17400	2	2	0	2	19.656	-2.997
sinister		86	54	3	3	0	3	18.886	5.92
backward		87	160	4	4	0	3	18.829	4.768
withering		88	56	3	3	0	3	18.665	5.868
bright		89	1560	9	9	0	5	18.003	2.653
stealing		90	180	4	4	0	3	17.912	4.598
as		91	70474	34	34	0	12	17.746	-0.927
on		92	49042	20	20	0	7	17.652	-1.17
comical		93	70	3	3	0	2	17.319	5.546
