"Look of" noun
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
contempt		1	250	6	0	6	4	60.904	8.735
surprise		2	1072	7	0	7	6	52.809	6.857
recognition		3	252	5	0	5	4	48.823	8.46
reproach		4	298	5	0	5	5	47.136	8.218
interest		5	1702	7	0	7	5	46.390	6.19
disdain		6	96	4	0	4	3	45.063	9.531
disgust		7	102	4	0	4	2	44.569	9.443
excessive		8	116	4	0	4	2	43.522	9.258
astonishment		9	510	5	0	5	4	41.752	7.443
intense		10	162	4	0	4	4	40.815	8.776
slyness		11	46	3	0	3	1	36.549	10.177
abhorrence		12	64	3	0	3	3	34.513	9.701
terror		13	402	4	0	4	3	33.511	7.465
wonder		14	1352	5	0	5	2	32.065	6.037
inquiry		15	526	4	0	4	4	31.365	7.077
admiration		16	658	4	0	4	4	29.582	6.754
infinite		17	194	3	0	3	2	27.777	8.101
apprehension		18	218	3	0	3	2	27.075	7.932
wisdom		19	252	3	0	3	2	26.203	7.723
mingled		20	262	3	0	3	2	25.970	7.667
horror		21	288	3	0	3	3	25.402	7.531
amazement		22	292	3	0	3	3	25.319	7.511
alarm		23	360	3	0	3	2	24.065	7.209
triumph		24	392	3	0	3	2	23.555	7.086
deep		25	1456	4	0	4	2	23.304	5.608
unutterable		26	56	2	0	2	2	21.895	9.308
intelligence		27	564	3	0	3	3	21.385	6.561
hers		28	582	3	0	3	3	21.198	6.516
pity		29	678	3	0	3	3	20.290	6.295
displeasure		30	114	2	0	2	2	19.021	8.283
exultation		31	122	2	0	2	2	18.748	8.185
entreaty		32	146	2	0	2	1	18.027	7.926
vacant		33	148	2	0	2	2	17.973	7.906
to		34	218570	1	0	1	1	17.883	-3.622
dislike		35	156	2	0	2	2	17.762	7.83
virtuous		36	166	2	0	2	2	17.513	7.741
deadly		37	174	2	0	2	2	17.324	7.673
scorn		38	210	2	0	2	2	16.572	7.401
eager		39	250	2	0	2	2	15.876	7.15
intentness		40	4	1	0	1	1	15.072	12.116
gratitude		41	306	2	0	2	2	15.071	6.858
suffering		42	352	2	0	2	2	14.514	6.656
