Adjective "manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
his		1	52638	180	180	0	18	365.516	2.632
usual		2	867	25	25	0	12	149.731	5.708
like		3	6214	42	42	0	15	134.211	3.615
same		4	3109	29	29	0	14	109.999	4.079
friendly		5	289	14	14	0	9	98.377	6.456
threatening		6	115	11	11	0	6	92.672	7.438
impressive		7	88	9	9	0	7	77.076	7.534
all		8	16267	46	46	0	15	76.978	2.358
a		9	90618	118	118	0	17	68.777	1.239
her		10	31885	62	62	0	17	68.313	1.817
impassioned		11	20	6	6	0	4	65.625	9.087
deprecatory		12	8	5	5	0	4	64.453	10.146
solemn		13	293	10	10	0	4	63.195	5.951
extraordinary		14	438	11	11	0	7	62.797	5.508
thoughtful		15	209	9	9	0	7	61.079	6.286
masterly		16	15	5	5	0	4	55.950	9.239
natural		17	655	11	11	0	7	54.090	4.928
protecting		18	18	5	5	0	2	53.779	8.976
quiet		19	955	12	12	0	8	52.263	4.509
earnest		20	359	9	9	0	6	51.341	5.506
workmanlike		21	7	4	4	0	4	50.468	10.016
stately		22	133	7	7	0	7	50.346	6.576
alarming		23	85	6	6	0	5	46.754	6.999
s		24	28018	49	49	0	15	46.508	1.664
lofty		25	94	6	6	0	4	45.514	6.854
altered		26	214	7	7	0	5	43.633	5.89
peremptory		27	16	4	4	0	4	42.044	8.824
hurried		28	407	8	8	0	6	41.793	5.155
hearted		29	247	7	7	0	4	41.630	5.683
dexterous		30	19	4	4	0	3	40.486	8.576
admirable		31	62	5	5	0	4	40.335	7.191
accustomed		32	298	7	7	0	4	39.024	5.412
unexpected		33	163	6	6	0	6	38.817	6.06
methodical		34	26	4	4	0	3	37.725	8.123
desperate		35	190	6	6	0	6	36.975	5.839
courtly		36	29	4	4	0	3	36.784	7.966
engaging		37	88	5	5	0	4	36.737	6.686
voiceless		38	6	3	3	0	1	36.704	9.824
similar		39	199	6	6	0	5	36.421	5.772
whimsical		40	33	4	4	0	3	35.682	7.779
soothing		41	98	5	5	0	4	35.641	6.531
ignominious		42	7	3	3	0	3	35.462	9.601
skilful		43	34	4	4	0	4	35.429	7.736
pleasantest		44	36	4	4	0	4	34.945	7.654
surprising		45	106	5	5	0	5	34.845	6.418
friendliest		46	8	3	3	0	2	34.439	9.409
nervous		47	112	5	5	0	5	34.288	6.338
rapid		48	122	5	5	0	5	33.425	6.215
affecting		49	126	5	5	0	4	33.100	6.168
mysterious		50	271	6	6	0	5	32.745	5.326
sprightly		51	48	4	4	0	3	32.538	7.239
submissive		52	49	4	4	0	4	32.367	7.209
own		53	4598	16	16	0	8	32.123	2.657
boisterous		54	54	4	4	0	4	31.563	7.069
melancholy		55	303	6	6	0	4	31.427	5.165
determined		56	307	6	6	0	5	31.272	5.146
accidental		57	56	4	4	0	4	31.264	7.016
uncomfortable		58	178	5	5	0	4	29.643	5.67
angry		59	360	6	6	0	5	29.402	4.917
unaccountable		60	72	4	4	0	3	29.204	6.654
gayest		61	17	3	3	0	2	29.190	8.321
homely		62	76	4	4	0	3	28.764	6.576
ghostly		63	80	4	4	0	4	28.347	6.502
ghastly		63	80	4	4	0	4	28.347	6.502
agreeable		65	410	6	6	0	4	27.884	4.729
easy		66	678	7	7	0	5	27.840	4.226
distracted		67	88	4	4	0	4	27.575	6.364
that		68	56316	7	7	0	5	27.547	-2.15
remarkable		69	426	6	6	0	4	27.439	4.674
becoming		70	231	5	5	0	3	27.063	5.294
defiant		71	28	3	3	0	3	25.978	7.601
careless		72	109	4	4	0	4	25.850	6.055
deliberate		73	29	3	3	0	3	25.756	7.551
absent		74	113	4	4	0	3	25.561	6.003
casual		75	30	3	3	0	3	25.543	7.502
different		76	510	6	6	0	6	25.358	4.414
portentous		77	31	3	3	0	1	25.337	7.454
dismal		78	278	5	5	0	4	25.244	5.027
agitated		79	118	4	4	0	3	25.214	5.941
frantic		80	32	3	3	0	3	25.138	7.409
for		81	29339	1	1	0	1	24.918	-4.017
satisfactory		82	124	4	4	0	4	24.817	5.869
vehement		83	35	3	3	0	3	24.578	7.279
plaintive		83	35	3	3	0	3	24.578	7.279
conversational		83	35	3	3	0	3	24.578	7.279
significant		86	38	3	3	0	3	24.066	7.161
kindest		87	40	3	3	0	3	23.748	7.087
hardened		88	41	3	3	0	1	23.595	7.051
smoothest		89	5	2	2	0	2	23.284	9.502
insinuating		90	44	3	3	0	3	23.159	6.949
approved		91	47	3	3	0	3	22.753	6.854
scientific		91	47	3	3	0	3	22.753	6.854
flattering		91	47	3	3	0	3	22.753	6.854
marked		94	164	4	4	0	4	22.592	5.466
voluble		95	6	2	2	0	1	22.377	9.239
ridiculous		96	169	4	4	0	4	22.354	5.423
curious		97	377	5	5	0	4	22.283	4.587
sudden		97	377	5	5	0	5	22.283	4.587
playful		99	53	3	3	0	3	22.016	6.681
frenzied		100	7	2	2	0	2	21.641	9.016
former		101	411	5	5	0	3	21.451	4.463
your		102	9640	19	19	0	11	21.119	1.837
peculiar		103	199	4	4	0	4	21.066	5.187
unmistakable		104	8	2	2	0	2	21.020	8.824
snappish		104	8	2	2	0	2	21.020	8.824
awful		106	204	4	4	0	3	20.871	5.151
patronizing		107	9	2	2	0	2	20.484	8.654
cautious		108	72	3	3	0	2	20.153	6.239
emphatic		109	73	3	3	0	2	20.069	6.219
lucid		110	10	2	2	0	2	20.012	8.502
