"Manner was" adjective
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
so		1	36440	9	0	9	6	34.481	4.072
strange		2	1568	2	0	2	1	13.938	6.441
openness		3	32	1	0	1	1	13.367	11.055
peremptory		3	32	1	0	1	1	13.367	11.055
attributable		5	40	1	0	1	1	12.914	10.733
noticeable		5	40	1	0	1	1	12.914	10.733
unaffected		7	44	1	0	1	1	12.721	10.596
less		8	2322	2	0	2	2	12.388	5.874
bland		9	54	1	0	1	1	12.308	10.3
courtly		10	58	1	0	1	1	12.164	10.197
refined		10	58	1	0	1	1	12.164	10.197
