Noun "of manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
stateliness		1	21	3	3	0	3	47.884	12.821
sort		2	952	5	5	0	4	46.210	8.056
earnestness		3	171	3	3	0	3	34.909	9.796
conventionalities		4	11	2	2	0	2	32.950	13.169
ease		5	260	3	3	0	3	32.380	9.191
elegance		6	33	2	2	0	2	28.292	11.584
gentleness		7	65	2	2	0	1	25.520	10.606
warmth		8	110	2	2	0	2	23.392	9.847
guardedness		9	1	1	1	0	1	21.678	15.628
easiness		9	1	1	1	0	1	21.678	15.628
grace		11	243	2	2	0	2	20.207	8.704
kindness		12	279	2	2	0	1	19.653	8.504
faithfulness		13	2	1	1	0	1	18.905	14.628
gracefulness		14	3	1	1	0	1	17.859	14.044
demureness		14	3	1	1	0	1	17.859	14.044
sprightliness		16	5	1	1	0	1	16.674	13.307
vulgarity		16	5	1	1	0	1	16.674	13.307
coarseness		18	7	1	1	0	1	15.937	12.821
inflexibility		19	8	1	1	0	1	15.650	12.628
irritability		20	9	1	1	0	1	15.399	12.459
change		21	842	2	2	0	1	15.247	6.911
benignity		22	10	1	1	0	1	15.177	12.307
arrogance		23	11	1	1	0	1	14.976	12.169
recklessness		24	12	1	1	0	1	14.794	12.044
abruptness		25	13	1	1	0	1	14.627	11.928
seriousness		25	13	1	1	0	1	14.627	11.928
refinement		27	14	1	1	0	1	14.473	11.821
suavity		28	16	1	1	0	1	14.197	11.628
flourishes		29	18	1	1	0	1	13.954	11.459
equanimity		29	18	1	1	0	1	13.954	11.459
trepidation		31	20	1	1	0	1	13.738	11.307
sternness		32	21	1	1	0	1	13.638	11.236
softness		32	21	1	1	0	1	13.638	11.236
bewilderment		34	24	1	1	0	1	13.365	11.044
steadiness		35	28	1	1	0	1	13.051	10.821
serenity		35	28	1	1	0	1	13.051	10.821
cordiality		37	30	1	1	0	1	12.910	10.722
insolence		38	32	1	1	0	1	12.779	10.628
heartiness		38	32	1	1	0	1	12.779	10.628
irritation		38	32	1	1	0	1	12.779	10.628
gentility		41	35	1	1	0	1	12.597	10.499
disturbance		42	45	1	1	0	1	12.089	10.137
sweetness		43	46	1	1	0	1	12.044	10.105
gaiety		44	49	1	1	0	1	11.917	10.014
fervour		45	57	1	1	0	1	11.612	9.796
embarrassment		45	57	1	1	0	1	11.612	9.796
decision		47	58	1	1	0	1	11.577	9.77
vehemence		47	58	1	1	0	1	11.577	9.77
fortitude		49	60	1	1	0	1	11.508	9.722
coolness		50	62	1	1	0	1	11.442	9.674
abstraction		51	64	1	1	0	1	11.378	9.628
