Noun "of her manner"
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
energy		1	166	2	2	0	2	29.373	11.911
agitation		1	166	2	2	0	2	29.373	11.911
strangeness		3	9	1	1	0	1	19.149	15.116
placidity		4	10	1	1	0	1	18.927	14.964
stateliness		5	21	1	1	0	1	17.388	13.893
charm		6	57	1	1	0	1	15.360	12.453
flutter		7	64	1	1	0	1	15.126	12.286
indifference		8	140	1	1	0	1	13.553	11.156
earnestness		9	171	1	1	0	1	13.152	10.868
careful		10	202	1	1	0	1	12.818	10.627
fact		11	810	1	1	0	1	10.040	8.624
