"Manner which" verb/ adjective
Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
implied		1	150	3	0	3	3	36.518	10.192
bespoke		2	58	2	0	2	2	26.538	10.978
made		3	10428	5	0	5	4	23.865	4.81
was		4	92828	10	0	10	6	20.508	2.656
untranslatable		5	2	1	0	1	1	19.188	14.836
convinces		6	4	1	0	1	1	17.462	13.836
highly		7	690	2	0	2	1	16.591	7.406
seemed		8	4644	3	0	3	3	16.014	5.24
showed		9	972	2	0	2	2	15.228	6.911
galled		10	20	1	0	1	1	14.021	11.514
quite		11	7920	3	0	3	3	12.920	4.47
grated		12	50	1	0	1	1	12.159	10.192
